TaxiTNC,Personal
113,133
195,83
242,116
60,123
34,53
74,20
60,46
12,55
320,43
41,37
39,62
286,86
40,329
27,22
89,186
84,65
71,97
18,136
7,65
59,29
222,146
21,79
122,35
53,27
377,374
41,88
64,63
94,115
62,11
156,23
35,52
302,22
19,55
101,33
52,15
46,65
6,149
280,42
63,315
23,20
45,47
179,172
115,71
143,20
59,35
66,54
19,47
110,106
116,36
35,51
35,78
51,42
44,50
89,139
188,116
127,201
70,122
31,70
86,31
11,80
12,24
74,66
19,38
21,114
146,46
0,30
50,34
17,35
32,29
202,184
109,91
40,97
30,76
23,64
20,121
21,74
160,27
93,394
101,52
55,81
163,41
23,113
42,96
63,173
45,195
284,80
47,85
191,218
35,28
314,81
50,57
9,48
49,232
13,70
4,190
71,90
34,124
63,98
60,16
137,84
147,35
222,52
113,48
42,15
71,32
103,70
156,70
29,70
48,84
143,152
58,82
11,82
333,221
91,45
166,55
167,98
43,94
76,117
87,57
50,68
18,37
98,115
105,115
22,45
24,8
10,45
102,41
255,78
51,38
25,39
104,54
33,137
22,173
294,47
142,40
295,84
59,73
98,56
306,58
98,48
160,17
121,53
14,29
52,218
22,9
106,37
196,161
57,36
55,43
185,34
67,54
23,52
31,68
32,205
214,362
30,362
125,294
145,266
50,46
39,68
79,73
55,21
24,31
1,12
101,55
139,62
64,57
252,293
35,274
25,378
35,379
7,37
62,175
14,18
20,83
19,68
62,64
28,15
46,143
32,46
216,41
145,22
52,51
70,45
107,124
27,26
44,39
27,60
32,43
41,66
42,435
38,22
29,73
128,25
5,80
63,42
140,37
5,38
181,204
27,20
57,171
280,78
78,43
81,30
23,39
50,132
48,69
21,18
231,58
35,51
136,18
40,35
57,22
74,94
114,58
62,27
131,67
109,20
5,64
55,102
56,59
26,86
320,201
42,95
85,23
34,71
67,70
8,262
30,40
239,31
115,65
156,64
163,69
51,20
65,168
22,48
21,34
112,147
63,26
35,62
107,26
320,70
27,79
111,58
66,25
46,86
74,34
327,153
26,46
3,274
71,383
89,28
103,22
8,352
33,30
34,11
98,21
52,27
36,56
10,27
264,17
68,178
104,89
18,51
31,29
36,28
80,113
27,57
73,83
10,42
92,30
43,53
186,41
12,68
64,50
49,59
208,177
35,67
45,41
19,457
47,83
95,96
22,63
83,19
42,29
17,37
108,43
38,82
32,124
190,10
20,55
126,22
119,374
126,39
14,46
10,80
105,72
68,73
167,177
33,74
55,46
109,177
95,19
23,97
47,85
1,73
60,386
54,103
37,42
35,9
190,47
128,94
10,46
48,141
47,432
48,55
126,387
53,36
383,14
1,88
53,45
37,81
9,155
8,68
22,70
26,225
34,14
76,105
53,208
80,173
308,29
31,34
151,107
2,51
100,27
89,33
48,93
21,49
308,62
65,166
55,29
73,78
24,55
24,83
96,173
167,46
54,42
19,116
7,90
81,193
106,49
114,72
76,126
94,20
0,20
68,83
86,100
67,38
190,45
10,86
37,27
8,75
8,59
52,84
38,82
14,62
211,417
88,54
156,151
194,78
38,72
33,26
123,108
32,224
141,174
148,41
33,177
44,87
48,62
68,124
64,64
19,55
19,125
64,50
45,2
178,124
52,47
101,22
19,44
41,22
28,84
94,90
2,125
30,64
103,123
26,208
266,76
64,90
306,38
48,35
2,16
58,71
84,189
7,128
37,110
205,111
83,58
89,45
137,133
24,127
163,40
183,29
333,125
36,53
27,48
60,61
190,42
290,32
97,91
43,246
60,97
21,34
56,93
75,60
51,42
176,52
5,374
44,74
12,11
182,54
90,109
77,78
32,125
47,454
48,99
36,256
61,85
113,99
57,45
121,48
5,41
5,270
63,330
36,57
64,435
47,53
2,110
46,37
109,274
78,46
18,191
63,31
55,56
29,184
113,374
20,46
48,18
124,37
58,39
24,172
30,127
444,81
22,41
59,205
93,74
314,36
9,88
185,111
369,227
15,31
19,21
184,168
49,46
69,84
97,88
109,68
22,20
64,19
32,34
320,146
264,63
182,96
36,63
41,52
169,39
14,67
101,31
51,150
2,137
87,148
108,309
84,53
71,179
34,34
55,80
22,56
140,84
44,80
30,61
38,57
101,149
103,92
41,15
119,92
50,29
85,24
12,40
20,36
75,34
37,123
38,12
142,95
37,124
45,85
136,32
280,126
391,174
89,40
10,85
48,178
12,34
57,68
323,40
95,20
61,174
160,92
65,123
67,83
86,103
137,75
33,31
21,82
198,109
10,83
447,125
46,187
31,144
56,78
68,151
64,31
179,57
14,314
48,155
246,22
59,93
49,54
215,61
178,113
40,101
34,34
31,108
90,40
34,112
128,78
34,296
195,65
75,70
208,46
77,35
30,164
94,114
108,15
44,64
53,37
41,138
57,50
10,50
18,47
119,108
73,307
51,45
291,310
15,333
30,37
12,60
29,31
86,54
98,149
28,29
54,146
46,30
20,104
99,18
55,128
100,42
90,173
25,39
18,45
76,85
140,103
162,98
105,57
114,46
42,318
76,25
101,62
74,17
479,73
6,35
65,316
55,117
24,303
74,50
53,36
67,20
47,128
43,69
14,48
7,272
54,97
67,56
264,91
60,96
60,21
55,289
30,75
190,20
24,55
70,92
19,58
161,42
184,177
134,47
42,28
29,18
48,34
16,36
43,69
75,61
406,31
65,46
6,190
226,92
22,25
60,60
304,73
32,274
7,62
48,92
222,11
97,70
123,31
19,18
16,90
264,31
407,78
53,94
54,11
103,46
85,17
7,58
406,12
88,113
50,25
86,124
167,172
22,41
185,61
191,337
54,158
171,34
191,110
30,8
149,54
14,103
65,16
350,11
184,85
173,8
86,120
66,73
35,51
17,87
22,10
17,47
69,330
260,96
48,226
19,22
68,175
98,101
213,65
30,184
37,123
29,84
127,100
24,18
369,28
23,175
25,33
96,72
7,200
128,110
174,19
28,44
85,87
28,59
131,49
2,43
38,63
27,201
36,75
31,53
20,94
37,184
26,85
53,78
42,272
128,396
108,99
5,62
231,37
63,106
178,40
30,21
134,5
23,56
143,17
12,33
39,105
345,5
77,35
179,35
38,70
25,33
12,189
36,116
7,60
36,49
60,41
13,75
55,132
85,56
103,51
13,18
48,48
198,41
18,25
61,144
279,76
297,101
56,29
350,49
150,79
69,136
174,106
197,42
26,61
64,57
216,62
29,94
40,32
125,273
21,69
24,54
8,454
119,136
374,57
0,16
406,80
30,99
38,126
148,41
364,316
50,92
8,72
27,26
28,81
16,41
97,63
80,448
64,256
71,38
65,37
37,151
25,58
37,272
304,66
29,355
64,36
19,22
115,20
205,151
24,50
181,59
114,122
19,58
144,96
63,20
171,62
53,31
58,27
177,55
1,55
128,56
108,47
32,105
73,55
10,157
32,11
142,20
19,206
32,63
28,77
40,177
22,139
86,54
3,51
236,52
400,85
39,57
