,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,120,65,126,65,12,120,67,128,65,12,392,388,44.0,780
1,70,39,77,31,7,70,41,79,31,7,228,224,24.0,452
2,50,29,56,26,5,51,29,58,26,5,169,166,32.0,335
3,58,34,63,31,5,58,34,65,31,5,193,191,16.0,384
4,31,19,34,19,5,32,19,36,19,7,113,108,32.0,221
5,46,29,50,27,15,46,31,51,27,17,172,167,28.0,339
6,82,60,92,50,26,84,62,92,50,27,315,310,24.0,625
7,181,130,205,111,58,183,132,205,113,58,691,685,22.0,1376
8,296,193,311,181,79,297,193,311,183,80,1064,1060,30.0,2124
9,391,272,449,284,109,393,273,449,284,111,1510,1505,66.0,3015
10,463,294,548,340,121,465,294,550,340,121,1770,1766,72.0,3536
11,569,367,610,369,133,571,369,612,369,135,2056,2048,70.0,4104
12,400,251,432,256,80,400,251,432,258,80,1421,1419,72.0,2840
13,367,231,427,219,80,367,231,427,220,80,1325,1324,66.0,2649
14,443,263,487,267,87,443,263,489,267,89,1551,1547,92.0,3098
15,538,308,624,323,108,540,309,624,323,109,1905,1901,104.0,3806
16,560,308,574,282,91,562,308,574,282,92,1818,1815,94.0,3633
17,689,384,714,343,103,690,386,714,345,103,2238,2233,118.0,4471
18,673,383,753,388,103,673,384,753,390,103,2303,2300,142.0,4603
19,677,391,668,381,92,678,393,668,381,92,2212,2209,176.0,4421
20,554,347,625,342,85,554,349,625,343,85,1956,1953,156.0,3909
21,636,374,740,374,84,636,374,740,374,84,2208,2208,156.0,4416
22,671,420,806,395,96,671,420,808,395,97,2391,2388,192.0,4779
23,617,407,661,402,92,618,408,663,402,94,2185,2179,178.0,4364
24,589,361,695,333,103,591,362,695,335,104,2087,2081,184.0,4168
25,743,441,786,449,144,745,443,786,449,144,2567,2563,230.0,5130
26,878,480,950,511,152,880,482,952,511,154,2979,2971,230.0,5950
27,911,477,904,480,135,911,477,906,482,137,2913,2907,194.0,5820
28,764,458,880,456,113,764,458,880,456,113,2671,2671,174.0,5342
29,726,461,798,536,126,726,461,800,538,128,2653,2647,178.0,5300
30,887,513,1037,470,121,888,513,1037,472,123,3033,3028,170.0,6061
31,947,521,1070,530,128,948,523,1070,531,130,3202,3196,152.0,6398
32,772,504,873,396,106,774,506,875,398,106,2659,2651,206.0,5310
33,895,525,988,494,132,897,526,988,495,133,3039,3034,184.0,6073
34,1054,548,1063,540,133,1054,550,1063,542,135,3344,3338,138.0,6682
35,830,497,994,434,101,832,499,994,434,101,2860,2856,152.0,5716
36,709,384,695,384,60,711,384,697,386,62,2240,2232,156.0,4472
37,712,379,711,378,87,712,379,711,378,87,2267,2267,192.0,4534
38,834,480,940,472,87,834,482,941,473,87,2817,2813,156.0,5630
39,704,352,757,403,73,704,352,757,403,73,2289,2289,144.0,4578
40,478,270,511,277,55,478,272,513,278,55,1596,1591,110.0,3187
41,485,255,514,256,53,485,255,516,258,53,1567,1563,110.0,3130
42,682,340,689,292,62,682,342,690,294,62,2070,2065,94.0,4135
43,458,241,485,253,44,460,241,487,255,46,1489,1481,86.0,2970
44,390,219,465,239,29,390,219,465,239,29,1342,1342,90.0,2684
45,388,196,378,149,32,388,196,379,149,32,1144,1143,62.0,2287
46,296,161,302,132,26,296,162,302,133,27,920,917,74.0,1837
47,261,157,273,171,21,263,159,273,173,22,890,883,48.0,1773
