time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-06-02 00:00:00,20.0,39.0,134,80,160,66,9,6,2,2018,2018-06-02 00:00:00,2018-6-2,508.0
00:30:00,2018-06-02 00:30:00,8.0,27.0,91,53,106,48,7,6,2,2018,2018-06-02 00:30:00,2018-6-2,340.0
01:00:00,2018-06-02 01:00:00,14.0,22.0,51,28,57,29,3,6,2,2018,2018-06-02 01:00:00,2018-6-2,204.0
01:30:00,2018-06-02 01:30:00,11.0,17.0,32,17,32,14,2,6,2,2018,2018-06-02 01:30:00,2018-6-2,125.0
02:00:00,2018-06-02 02:00:00,15.0,13.0,30,15,31,15,2,6,2,2018,2018-06-02 02:00:00,2018-6-2,121.0
02:30:00,2018-06-02 02:30:00,37.0,18.0,29,16,35,14,2,6,2,2018,2018-06-02 02:30:00,2018-6-2,151.0
03:00:00,2018-06-02 03:00:00,103.0,27.0,47,25,48,28,3,6,2,2018,2018-06-02 03:00:00,2018-6-2,281.0
03:30:00,2018-06-02 03:30:00,202.0,30.0,116,59,115,65,7,6,2,2018,2018-06-02 03:30:00,2018-6-2,594.0
04:00:00,2018-06-02 04:00:00,261.0,20.0,156,102,187,100,12,6,2,2018,2018-06-02 04:00:00,2018-6-2,838.0
04:30:00,2018-06-02 04:30:00,394.0,29.0,207,119,219,97,13,6,2,2018,2018-06-02 04:30:00,2018-6-2,1078.0
05:00:00,2018-06-02 05:00:00,416.0,29.0,263,163,312,109,20,6,2,2018,2018-06-02 05:00:00,2018-6-2,1312.0
05:30:00,2018-06-02 05:30:00,479.0,36.0,326,185,354,153,20,6,2,2018,2018-06-02 05:30:00,2018-6-2,1553.0
06:00:00,2018-06-02 06:00:00,280.0,44.0,213,124,234,114,16,6,2,2018,2018-06-02 06:00:00,2018-6-2,1025.0
06:30:00,2018-06-02 06:30:00,275.0,54.0,213,107,241,87,13,6,2,2018,2018-06-02 06:30:00,2018-6-2,990.0
07:00:00,2018-06-02 07:00:00,312.0,51.0,246,128,285,134,16,6,2,2018,2018-06-02 07:00:00,2018-6-2,1172.0
07:30:00,2018-06-02 07:30:00,305.0,61.0,277,153,301,180,23,6,2,2018,2018-06-02 07:30:00,2018-6-2,1300.0
08:00:00,2018-06-02 08:00:00,216.0,67.0,273,162,326,134,22,6,2,2018,2018-06-02 08:00:00,2018-6-2,1200.0
08:30:00,2018-06-02 08:30:00,278.0,74.0,305,177,347,184,18,6,2,2018,2018-06-02 08:30:00,2018-6-2,1383.0
09:00:00,2018-06-02 09:00:00,231.0,65.0,383,202,382,184,22,6,2,2018,2018-06-02 09:00:00,2018-6-2,1469.0
09:30:00,2018-06-02 09:30:00,226.0,79.0,330,168,381,181,21,6,2,2018,2018-06-02 09:30:00,2018-6-2,1386.0
10:00:00,2018-06-02 10:00:00,181.0,79.0,286,172,359,158,17,6,2,2018,2018-06-02 10:00:00,2018-6-2,1252.0
10:30:00,2018-06-02 10:30:00,191.0,64.0,338,197,340,172,25,6,2,2018,2018-06-02 10:30:00,2018-6-2,1327.0
11:00:00,2018-06-02 11:00:00,182.0,69.0,362,217,397,186,24,6,2,2018,2018-06-02 11:00:00,2018-6-2,1437.0
11:30:00,2018-06-02 11:30:00,191.0,102.0,298,170,321,148,20,6,2,2018,2018-06-02 11:30:00,2018-6-2,1250.0
12:00:00,2018-06-02 12:00:00,181.0,78.0,243,133,287,136,14,6,2,2018,2018-06-02 12:00:00,2018-6-2,1072.0
12:30:00,2018-06-02 12:30:00,242.0,91.0,317,182,357,163,20,6,2,2018,2018-06-02 12:30:00,2018-6-2,1372.0
