,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,99,46,89,44,9,99,46,89,46,9,289,287,26.0,576
1,39,22,44,24,5,39,24,46,24,5,138,134,19.0,272
2,22,14,26,14,5,24,14,27,15,7,87,81,15.0,168
3,14,9,15,10,2,15,9,17,12,2,55,50,9.0,105
4,22,10,19,10,3,22,12,21,12,3,70,64,19.0,134
5,34,22,38,24,9,36,22,39,24,9,130,127,14.0,257
6,48,29,51,26,12,48,29,51,27,14,169,166,19.0,335
7,89,58,92,46,26,91,58,94,48,27,318,311,10.0,629
8,120,82,132,82,39,121,84,132,84,39,460,455,18.0,915
9,154,104,162,94,53,155,106,164,94,53,572,567,15.0,1139
10,150,101,155,94,41,152,103,155,96,41,547,541,17.0,1088
11,178,109,188,97,48,178,111,188,99,48,624,620,31.0,1244
12,140,92,155,97,32,142,92,157,97,34,522,516,22.0,1038
13,145,99,157,80,36,147,99,157,80,36,519,517,19.0,1036
14,176,114,188,103,46,178,114,188,104,46,630,627,27.0,1257
15,178,109,190,118,36,179,109,190,120,38,636,631,33.0,1267
16,203,126,227,106,34,203,128,227,106,36,700,696,25.0,1396
17,239,150,272,137,41,241,150,272,138,43,844,839,48.0,1683
18,280,173,308,149,46,280,174,309,150,46,959,956,50.0,1915
19,255,154,287,138,36,256,155,289,138,36,874,870,61.0,1744
20,210,126,227,128,27,212,128,229,128,27,724,718,73.0,1442
21,243,144,261,135,36,244,144,261,135,36,820,819,66.0,1639
22,249,145,282,137,36,251,147,282,137,36,853,849,66.0,1702
23,267,154,265,152,38,267,155,265,152,38,877,876,78.0,1753
24,232,135,261,108,27,232,137,263,109,29,770,763,79.0,1533
25,280,173,294,159,50,280,173,296,161,51,961,956,78.0,1917
26,306,202,352,203,58,308,202,352,203,58,1123,1121,91.0,2244
27,335,191,374,181,55,335,191,376,181,56,1139,1136,74.0,2275
28,275,171,302,152,41,275,173,304,152,43,947,941,83.0,1888
29,267,162,299,195,43,268,164,299,195,44,970,966,97.0,1936
30,316,181,314,161,39,318,183,316,162,39,1018,1011,71.0,2029
31,258,161,314,142,34,258,161,316,144,34,913,909,92.0,1822
32,260,150,308,178,31,260,150,309,178,32,929,927,85.0,1856
33,265,152,292,179,29,267,152,292,181,29,921,917,70.0,1838
34,335,166,340,157,34,337,167,342,157,36,1039,1032,83.0,2071
35,285,159,306,137,22,285,161,308,138,22,914,909,71.0,1823
36,222,116,244,104,22,224,116,244,106,24,714,708,74.0,1422
37,227,138,246,114,26,227,140,246,116,26,755,751,58.0,1506
38,256,149,302,173,26,258,150,304,173,26,911,906,79.0,1817
39,224,114,251,128,21,224,114,253,130,21,742,738,46.0,1480
40,203,97,178,79,19,203,99,179,79,19,579,576,54.0,1155
41,208,123,243,101,27,210,123,244,103,27,707,702,40.0,1409
42,232,128,251,101,24,234,128,251,101,26,740,736,46.0,1476
43,179,109,195,106,19,179,111,195,108,21,614,608,40.0,1222
44,157,92,171,91,19,157,94,171,92,19,533,530,40.0,1063
45,125,68,133,75,14,125,68,133,77,15,418,415,46.0,833
46,101,62,125,67,15,103,62,125,68,15,373,370,64.0,743
47,118,60,128,56,10,118,62,130,58,10,378,372,28.0,750
