,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,120,62,121,56,9,121,63,121,58,10,373,368,22.0,741
1,50,29,56,31,3,51,31,56,32,5,175,169,20.0,344
2,27,15,27,14,2,29,15,29,14,3,90,85,11.0,175
3,26,14,27,14,2,26,15,29,14,3,87,83,7.0,170
4,27,15,34,21,3,27,17,34,21,3,102,100,12.0,202
5,24,17,27,15,9,24,17,27,15,9,92,92,7.0,184
6,39,27,43,29,15,41,29,43,29,17,159,153,15.0,312
7,96,73,101,72,39,96,73,103,73,41,386,381,21.0,767
8,186,120,202,113,63,186,121,203,113,63,686,684,27.0,1370
9,301,186,343,179,91,301,186,345,181,91,1104,1100,49.0,2204
10,417,292,472,273,145,419,294,472,275,145,1605,1599,59.0,3204
11,620,448,723,422,222,622,449,723,422,224,2440,2435,80.0,4875
12,477,316,499,296,144,477,318,499,297,145,1736,1732,89.0,3468
13,290,196,294,190,109,292,198,294,191,109,1084,1079,172.0,2163
14,407,278,429,277,159,407,280,431,278,161,1557,1550,214.0,3107
15,427,296,484,275,154,429,297,484,275,154,1639,1636,395.0,3275
16,366,241,419,229,113,367,241,419,231,114,1372,1368,345.0,2740
17,407,256,451,278,130,407,258,451,278,130,1524,1522,313.0,3046
18,595,403,607,408,173,595,403,608,408,174,2188,2186,183.0,4374
19,439,289,494,261,111,439,290,495,263,111,1598,1594,106.0,3192
20,437,282,460,273,96,437,284,461,273,96,1551,1548,107.0,3099
21,381,273,443,265,106,383,273,444,265,106,1471,1468,108.0,2939
22,419,278,437,275,108,419,278,437,275,108,1517,1517,103.0,3034
23,422,244,458,229,101,422,246,460,231,101,1460,1454,129.0,2914
24,376,222,413,217,84,378,222,413,217,84,1314,1312,126.0,2626
25,432,265,456,272,99,432,265,458,273,101,1529,1524,127.0,3053
26,461,313,560,265,109,461,313,560,267,111,1712,1708,95.0,3420
27,456,287,490,234,91,456,287,492,234,91,1560,1558,94.0,3118
28,454,263,468,212,67,456,263,468,212,67,1466,1464,78.0,2930
29,403,253,451,217,84,403,255,453,219,85,1415,1408,101.0,2823
30,420,253,478,239,82,422,255,478,241,84,1480,1472,134.0,2952
31,422,270,443,256,75,422,272,444,256,77,1471,1466,136.0,2937
32,349,191,381,193,55,349,193,383,195,56,1176,1169,163.0,2345
33,391,251,429,203,65,391,253,429,203,65,1341,1339,196.0,2680
34,422,241,490,220,68,422,243,492,220,70,1447,1441,273.0,2888
35,386,227,407,231,48,386,229,408,231,48,1302,1299,193.0,2601
36,326,205,412,183,36,328,207,413,185,38,1171,1162,160.0,2333
37,314,174,349,191,39,314,176,350,191,39,1070,1067,114.0,2137
38,319,203,372,190,41,321,203,374,190,43,1131,1125,93.0,2256
39,284,176,352,155,29,285,178,354,155,29,1001,996,81.0,1997
40,232,114,237,126,24,234,114,239,128,26,741,733,62.0,1474
41,265,159,333,154,31,265,159,333,155,31,943,942,52.0,1885
42,316,179,328,195,32,318,181,330,195,32,1056,1050,59.0,2106
43,224,132,239,128,22,226,133,239,128,22,748,745,45.0,1493
44,195,106,185,109,17,196,108,186,111,19,620,612,46.0,1232
45,176,103,174,97,14,176,103,174,97,14,564,564,33.0,1128
46,159,85,183,89,14,161,87,185,91,14,538,530,18.0,1068
47,161,92,166,106,14,161,92,167,106,15,541,539,30.0,1080
