time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-04-18 00:00:00,9.0,16.0,81,46,95,39,6,4,18,2018,2018-04-18 00:00:00,2018-4-18,292.0
00:30:00,2018-04-18 00:30:00,8.0,17.0,56,31,62,31,4,4,18,2018,2018-04-18 00:30:00,2018-4-18,209.0
01:00:00,2018-04-18 01:00:00,7.0,18.0,27,18,35,18,2,4,18,2018,2018-04-18 01:00:00,2018-4-18,125.0
01:30:00,2018-04-18 01:30:00,8.0,8.0,16,9,18,9,1,4,18,2018,2018-04-18 01:30:00,2018-4-18,69.0
02:00:00,2018-04-18 02:00:00,16.0,7.0,15,10,18,7,1,4,18,2018,2018-04-18 02:00:00,2018-4-18,74.0
02:30:00,2018-04-18 02:30:00,33.0,12.0,18,11,18,10,1,4,18,2018,2018-04-18 02:30:00,2018-4-18,103.0
03:00:00,2018-04-18 03:00:00,82.0,11.0,37,22,42,19,2,4,18,2018,2018-04-18 03:00:00,2018-4-18,215.0
03:30:00,2018-04-18 03:30:00,197.0,15.0,73,42,86,47,5,4,18,2018,2018-04-18 03:30:00,2018-4-18,465.0
04:00:00,2018-04-18 04:00:00,312.0,25.0,135,72,157,77,11,4,18,2018,2018-04-18 04:00:00,2018-4-18,789.0
04:30:00,2018-04-18 04:30:00,509.0,42.0,188,109,217,107,14,4,18,2018,2018-04-18 04:30:00,2018-4-18,1186.0
05:00:00,2018-04-18 05:00:00,525.0,55.0,236,149,275,131,16,4,18,2018,2018-04-18 05:00:00,2018-4-18,1387.0
05:30:00,2018-04-18 05:30:00,773.0,82.0,301,189,382,190,23,4,18,2018,2018-04-18 05:30:00,2018-4-18,1940.0
06:00:00,2018-04-18 06:00:00,508.0,76.0,229,129,250,112,14,4,18,2018,2018-04-18 06:00:00,2018-4-18,1318.0
06:30:00,2018-04-18 06:30:00,453.0,204.0,163,93,185,97,12,4,18,2018,2018-04-18 06:30:00,2018-4-18,1207.0
07:00:00,2018-04-18 07:00:00,697.0,264.0,254,153,266,124,17,4,18,2018,2018-04-18 07:00:00,2018-4-18,1775.0
07:30:00,2018-04-18 07:30:00,651.0,338.0,265,136,280,150,17,4,18,2018,2018-04-18 07:30:00,2018-4-18,1837.0
08:00:00,2018-04-18 08:00:00,480.0,309.0,286,158,311,145,19,4,18,2018,2018-04-18 08:00:00,2018-4-18,1708.0
08:30:00,2018-04-18 08:30:00,396.0,253.0,321,174,352,140,19,4,18,2018,2018-04-18 08:30:00,2018-4-18,1655.0
09:00:00,2018-04-18 09:00:00,484.0,155.0,383,224,382,200,25,4,18,2018,2018-04-18 09:00:00,2018-4-18,1853.0
09:30:00,2018-04-18 09:30:00,355.0,103.0,372,203,446,209,21,4,18,2018,2018-04-18 09:30:00,2018-4-18,1709.0
10:00:00,2018-04-18 10:00:00,312.0,95.0,350,192,384,186,22,4,18,2018,2018-04-18 10:00:00,2018-4-18,1541.0
10:30:00,2018-04-18 10:30:00,331.0,106.0,371,188,375,152,22,4,18,2018,2018-04-18 10:30:00,2018-4-18,1545.0
11:00:00,2018-04-18 11:00:00,306.0,93.0,373,200,423,194,22,4,18,2018,2018-04-18 11:00:00,2018-4-18,1611.0
11:30:00,2018-04-18 11:30:00,304.0,116.0,330,200,402,169,25,4,18,2018,2018-04-18 11:30:00,2018-4-18,1546.0
12:00:00,2018-04-18 12:00:00,358.0,103.0,323,172,360,182,23,4,18,2018,2018-04-18 12:00:00,2018-4-18,1521.0
12:30:00,2018-04-18 12:30:00,408.0,138.0,338,175,362,156,21,4,18,2018,2018-04-18 12:30:00,2018-4-18,1598.0
13:00:00,2018-04-18 13:00:00,402.0,131.0,380,196,408,215,25,4,18,2018,2018-04-18 13:00:00,2018-4-18,1757.0
13:30:00,2018-04-18 13:30:00,367.0,85.0,378,218,444,240,25,4,18,2018,2018-04-18 13:30:00,2018-4-18,1757.0
14:00:00,2018-04-18 14:00:00,225.0,98.0,333,184,367,190,20,4,18,2018,2018-04-18 14:00:00,2018-4-18,1417.0
