,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,120,72,128,67,12,121,72,128,68,12,401,399,39.0,800
1,62,38,68,31,5,62,39,70,31,7,209,204,19.0,413
2,43,21,39,22,3,43,21,41,22,3,130,128,13.0,258
3,22,15,26,14,2,24,15,26,14,3,82,79,11.0,161
4,12,7,12,10,2,12,7,14,10,2,45,43,17.0,88
5,21,17,22,14,7,21,19,24,15,7,86,81,19.0,167
6,46,27,48,31,14,46,29,48,32,15,170,166,22.0,336
7,118,84,116,75,43,118,84,116,75,44,437,436,32.0,873
8,195,126,202,130,68,195,128,203,132,70,728,721,31.0,1449
9,292,215,314,203,104,292,215,314,203,106,1130,1128,61.0,2258
10,415,287,441,267,149,417,289,443,268,150,1567,1559,45.0,3126
11,620,449,689,439,217,620,449,689,441,219,2418,2414,77.0,4832
12,419,284,454,244,133,420,285,454,244,133,1536,1534,90.0,3070
13,299,215,333,196,109,301,217,335,198,109,1160,1152,179.0,2312
14,362,270,422,232,147,364,270,424,234,149,1441,1433,261.0,2874
15,458,309,492,352,173,460,309,494,354,173,1790,1784,352.0,3574
16,417,299,448,253,138,419,299,449,253,138,1558,1555,270.0,3113
17,425,273,478,258,125,427,273,478,260,126,1564,1559,222.0,3123
18,461,297,509,267,128,461,299,509,268,128,1665,1662,133.0,3327
19,478,292,499,253,97,480,294,501,255,99,1629,1619,97.0,3248
20,400,227,415,244,89,400,227,417,246,91,1381,1375,121.0,2756
21,420,275,448,282,111,422,275,448,282,111,1538,1536,107.0,3074
22,427,261,454,272,108,429,263,454,273,108,1527,1522,96.0,3049
23,367,227,396,236,89,369,229,396,237,91,1322,1315,121.0,2637
24,352,224,374,224,85,354,224,374,226,85,1263,1259,106.0,2522
25,400,253,458,265,113,400,253,458,267,114,1492,1489,120.0,2981
26,443,287,494,284,108,444,289,495,285,109,1622,1616,94.0,3238
27,390,239,431,261,80,390,239,431,261,80,1401,1401,94.0,2802
28,359,234,396,217,73,361,234,398,219,75,1287,1279,104.0,2566
29,367,220,386,219,77,369,222,388,220,79,1278,1269,108.0,2547
30,407,248,456,261,79,407,249,456,263,79,1454,1451,101.0,2905
31,376,241,448,263,73,376,243,448,263,73,1403,1401,133.0,2804
32,372,229,417,198,56,372,229,419,200,58,1278,1272,183.0,2550
33,367,210,431,232,67,369,212,432,232,68,1313,1307,253.0,2620
34,408,229,443,255,62,410,231,443,255,63,1402,1397,309.0,2799
35,384,224,431,203,50,386,226,432,203,51,1298,1292,226.0,2590
36,285,161,352,181,31,285,162,352,183,32,1014,1010,166.0,2024
37,275,157,294,159,34,275,159,296,161,34,925,919,95.0,1844
38,328,174,376,234,39,330,176,378,236,39,1159,1151,87.0,2310
39,299,159,335,166,32,299,161,335,167,32,994,991,58.0,1985
40,181,125,232,113,24,181,125,232,113,26,677,675,60.0,1352
41,229,154,236,140,21,231,154,236,142,21,784,780,64.0,1564
42,277,152,308,159,27,277,154,308,161,27,927,923,68.0,1850
43,239,128,263,120,24,239,128,265,121,24,777,774,62.0,1551
44,183,104,210,75,17,185,106,210,77,17,595,589,54.0,1184
45,188,109,200,118,21,190,109,200,118,21,638,636,49.0,1274
46,142,80,154,85,14,142,82,154,87,14,479,475,31.0,954
47,157,77,150,67,10,157,79,152,68,12,468,461,31.0,929
