,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,121,53,128,67,7,123,55,130,67,7,382,376,22.0,758
1,56,29,58,32,2,56,31,58,34,3,182,177,19.0,359
2,21,10,22,10,2,22,10,22,10,3,67,65,9.0,132
3,22,10,22,9,2,22,12,22,10,3,69,65,8.0,134
4,15,10,19,14,2,17,10,21,14,2,64,60,2.0,124
5,24,14,24,15,7,24,14,24,17,7,86,84,14.0,170
6,34,24,39,22,10,34,26,39,24,12,135,129,32.0,264
7,87,62,101,58,26,89,62,101,60,27,339,334,81.0,673
8,171,113,190,106,48,173,113,190,106,50,632,628,174.0,1260
9,267,181,280,167,72,267,183,282,169,73,974,967,304.0,1941
10,328,203,371,183,70,330,205,371,183,72,1161,1155,472.0,2316
11,497,314,530,319,111,499,314,530,321,113,1777,1771,608.0,3548
12,347,222,419,256,75,347,222,420,256,75,1320,1319,398.0,2639
13,239,161,277,164,60,241,162,278,164,62,907,901,431.0,1808
14,343,217,352,186,79,345,219,354,186,80,1184,1177,628.0,2361
15,367,236,410,270,94,367,237,410,270,96,1380,1377,687.0,2757
16,337,210,369,185,68,338,210,369,185,68,1170,1169,612.0,2339
17,369,220,415,205,60,369,222,417,207,60,1275,1269,659.0,2544
18,417,237,460,261,58,417,237,461,263,60,1438,1433,554.0,2871
19,376,200,425,212,56,378,202,425,212,56,1273,1269,400.0,2542
20,335,219,403,215,50,337,220,403,217,50,1227,1222,359.0,2449
21,326,208,343,214,51,328,208,343,214,51,1144,1142,399.0,2286
22,361,214,390,186,48,362,214,390,188,50,1204,1199,365.0,2403
23,301,195,350,198,55,302,196,352,200,56,1106,1099,288.0,2205
24,311,186,352,224,50,311,188,352,226,51,1128,1123,253.0,2251
25,309,190,340,222,63,311,190,340,222,63,1126,1124,328.0,2250
26,333,231,412,181,73,333,231,412,181,73,1230,1230,332.0,2460
27,384,212,439,219,65,386,212,439,220,65,1322,1319,270.0,2641
28,335,205,362,196,48,335,207,364,196,50,1152,1146,207.0,2298
29,335,212,349,174,46,337,212,350,174,48,1121,1116,278.0,2237
30,321,188,366,207,50,321,190,366,207,50,1134,1132,327.0,2266
31,343,196,402,169,38,343,196,402,169,39,1149,1148,254.0,2297
32,337,190,357,188,36,337,191,359,188,38,1113,1108,314.0,2221
33,350,208,349,181,39,352,210,349,183,41,1135,1127,389.0,2262
34,319,179,330,166,34,319,181,330,167,34,1031,1028,437.0,2059
35,280,161,319,145,24,280,162,321,147,26,936,929,400.0,1865
36,277,166,284,130,22,278,166,284,130,24,882,879,288.0,1761
37,273,155,284,166,24,273,155,284,166,26,904,902,168.0,1806
38,280,166,338,202,31,280,167,340,203,31,1021,1017,142.0,2038
39,275,166,337,142,26,277,166,338,144,26,951,946,104.0,1897
40,196,121,212,125,22,198,123,214,125,22,682,676,73.0,1358
41,241,133,237,138,24,241,135,237,140,26,779,773,72.0,1552
42,301,155,319,176,24,301,157,319,178,26,981,975,67.0,1956
43,229,137,261,121,22,231,137,263,121,22,774,770,57.0,1544
44,186,103,191,96,17,186,104,193,97,19,599,593,42.0,1192
45,159,85,166,70,14,159,87,166,72,15,499,494,38.0,993
46,142,82,150,89,12,144,84,152,89,12,481,475,29.0,956
47,128,77,138,60,9,130,79,138,62,9,418,412,25.0,830
