,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,118,72,140,60,10,118,72,140,60,12,402,400,39.0,802
1,79,46,91,41,9,79,46,92,43,10,270,266,27.0,536
2,48,26,50,26,3,50,26,51,27,5,159,153,22.0,312
3,29,15,29,14,3,29,17,31,14,3,94,90,17.0,184
4,27,15,29,15,3,29,15,29,15,5,93,89,13.0,182
5,31,21,36,17,7,31,22,36,19,9,117,112,18.0,229
6,60,38,58,41,19,60,39,58,41,21,219,216,27.0,435
7,133,84,132,89,41,133,85,133,91,43,485,479,30.0,964
8,178,132,203,130,55,178,132,205,132,55,702,698,20.0,1400
9,243,167,256,149,77,244,169,258,150,79,900,892,29.0,1792
10,296,210,338,164,87,296,210,338,164,89,1097,1095,29.0,2192
11,359,243,383,212,97,361,243,384,212,99,1299,1294,36.0,2593
12,229,154,248,145,62,231,154,248,145,62,840,838,44.0,1678
13,229,138,253,121,58,229,138,253,121,58,799,799,54.0,1598
14,265,162,296,167,67,265,162,297,167,67,958,957,51.0,1915
15,289,183,309,205,72,289,183,309,207,72,1060,1058,61.0,2118
16,270,174,314,152,55,270,176,316,152,56,970,965,67.0,1935
17,308,198,345,203,62,308,198,347,205,63,1121,1116,74.0,2237
18,367,212,366,196,58,367,212,366,196,58,1199,1199,65.0,2398
19,319,181,364,193,56,321,183,364,193,58,1119,1113,79.0,2232
20,275,178,337,166,44,275,178,338,167,46,1004,1000,79.0,2004
21,321,200,323,179,53,321,202,325,179,55,1082,1076,64.0,2158
22,340,217,369,190,51,340,219,371,190,51,1171,1167,69.0,2338
23,287,178,306,159,50,287,178,308,161,50,984,980,102.0,1964
24,237,145,275,147,43,239,145,277,147,43,851,847,78.0,1698
25,313,196,345,179,58,314,196,347,181,58,1096,1091,91.0,2187
26,362,224,424,234,68,364,226,424,236,68,1318,1312,98.0,2630
27,369,219,402,215,60,371,220,402,217,62,1272,1265,92.0,2537
28,319,191,366,183,46,319,191,366,183,46,1105,1105,113.0,2210
29,299,193,355,167,44,299,195,357,167,46,1064,1058,96.0,2122
30,331,186,369,183,43,331,186,371,183,44,1115,1112,103.0,2227
31,319,203,345,214,41,319,203,345,215,41,1123,1122,106.0,2245
32,258,159,313,166,38,260,161,314,167,39,941,934,95.0,1875
33,290,179,319,176,32,290,179,319,178,34,1000,996,86.0,1996
34,277,167,335,173,36,278,167,335,173,38,991,988,90.0,1979
35,263,150,299,161,31,263,150,299,161,32,905,904,77.0,1809
36,200,121,241,91,27,202,121,243,91,27,684,680,80.0,1364
37,214,135,255,121,21,215,135,256,121,21,748,746,83.0,1494
38,241,142,284,123,29,243,144,284,123,29,823,819,72.0,1642
39,205,120,227,101,22,205,121,229,101,22,678,675,61.0,1353
40,149,77,164,84,17,150,79,164,85,19,497,491,49.0,988
41,167,96,174,101,19,167,97,174,103,21,562,557,49.0,1119
42,191,111,214,116,22,193,111,214,118,22,658,654,60.0,1312
43,166,109,179,101,19,166,111,181,103,19,580,574,60.0,1154
44,125,75,140,73,10,126,75,140,75,10,426,423,55.0,849
45,106,55,123,58,9,106,55,125,60,10,356,351,39.0,707
46,103,60,121,58,10,103,62,123,60,12,360,352,28.0,712
47,118,65,121,65,10,120,67,123,65,10,385,379,33.0,764
