time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-07-11 00:00:00,11.0,23.0,192,109,219,138,13,7,11,2018,2018-07-11 00:00:00,2018-7-11,705.0
00:30:00,2018-07-11 00:30:00,8.0,19.0,145,78,140,71,8,7,11,2018,2018-07-11 00:30:00,2018-7-11,469.0
01:00:00,2018-07-11 01:00:00,15.0,14.0,79,42,96,46,6,7,11,2018,2018-07-11 01:00:00,2018-7-11,298.0
01:30:00,2018-07-11 01:30:00,15.0,14.0,44,26,50,30,3,7,11,2018,2018-07-11 01:30:00,2018-7-11,182.0
02:00:00,2018-07-11 02:00:00,15.0,11.0,26,16,29,14,2,7,11,2018,2018-07-11 02:00:00,2018-7-11,113.0
02:30:00,2018-07-11 02:30:00,47.0,12.0,37,19,41,23,2,7,11,2018,2018-07-11 02:30:00,2018-7-11,181.0
03:00:00,2018-07-11 03:00:00,89.0,17.0,44,24,47,23,3,7,11,2018,2018-07-11 03:00:00,2018-7-11,247.0
03:30:00,2018-07-11 03:30:00,204.0,24.0,100,51,111,49,7,7,11,2018,2018-07-11 03:30:00,2018-7-11,546.0
04:00:00,2018-07-11 04:00:00,309.0,25.0,147,86,159,74,9,7,11,2018,2018-07-11 04:00:00,2018-7-11,809.0
04:30:00,2018-07-11 04:30:00,461.0,36.0,224,127,259,107,15,7,11,2018,2018-07-11 04:30:00,2018-7-11,1229.0
05:00:00,2018-07-11 05:00:00,590.0,44.0,287,165,329,179,19,7,11,2018,2018-07-11 05:00:00,2018-7-11,1613.0
05:30:00,2018-07-11 05:30:00,826.0,61.0,414,214,455,207,31,7,11,2018,2018-07-11 05:30:00,2018-7-11,2208.0
06:00:00,2018-07-11 06:00:00,609.0,68.0,360,190,368,163,26,7,11,2018,2018-07-11 06:00:00,2018-7-11,1784.0
06:30:00,2018-07-11 06:30:00,493.0,183.0,246,155,261,147,18,7,11,2018,2018-07-11 06:30:00,2018-7-11,1503.0
07:00:00,2018-07-11 07:00:00,674.0,210.0,339,191,385,187,24,7,11,2018,2018-07-11 07:00:00,2018-7-11,2010.0
07:30:00,2018-07-11 07:30:00,657.0,300.0,329,206,400,201,22,7,11,2018,2018-07-11 07:30:00,2018-7-11,2115.0
08:00:00,2018-07-11 08:00:00,418.0,308.0,362,198,391,192,23,7,11,2018,2018-07-11 08:00:00,2018-7-11,1892.0
08:30:00,2018-07-11 08:30:00,417.0,205.0,374,221,415,242,25,7,11,2018,2018-07-11 08:30:00,2018-7-11,1899.0
09:00:00,2018-07-11 09:00:00,443.0,118.0,398,220,466,220,32,7,11,2018,2018-07-11 09:00:00,2018-7-11,1897.0
09:30:00,2018-07-11 09:30:00,409.0,84.0,480,224,497,209,32,7,11,2018,2018-07-11 09:30:00,2018-7-11,1935.0
10:00:00,2018-07-11 10:00:00,281.0,107.0,347,222,392,226,24,7,11,2018,2018-07-11 10:00:00,2018-7-11,1599.0
10:30:00,2018-07-11 10:30:00,392.0,102.0,394,232,418,191,28,7,11,2018,2018-07-11 10:30:00,2018-7-11,1757.0
11:00:00,2018-07-11 11:00:00,327.0,127.0,355,221,415,187,23,7,11,2018,2018-07-11 11:00:00,2018-7-11,1655.0
11:30:00,2018-07-11 11:30:00,370.0,121.0,405,209,443,168,25,7,11,2018,2018-07-11 11:30:00,2018-7-11,1741.0
12:00:00,2018-07-11 12:00:00,468.0,95.0,330,185,394,159,25,7,11,2018,2018-07-11 12:00:00,2018-7-11,1656.0
12:30:00,2018-07-11 12:30:00,555.0,104.0,428,254,464,213,27,7,11,2018,2018-07-11 12:30:00,2018-7-11,2045.0
13:00:00,2018-07-11 13:00:00,433.0,104.0,441,232,522,264,31,7,11,2018,2018-07-11 13:00:00,2018-7-11,2027.0
13:30:00,2018-07-11 13:30:00,405.0,96.0,465,261,497,227,35,7,11,2018,2018-07-11 13:30:00,2018-7-11,1986.0
14:00:00,2018-07-11 14:00:00,287.0,91.0,400,230,492,240,25,7,11,2018,2018-07-11 14:00:00,2018-7-11,1765.0
14:30:00,2018-07-11 14:30:00,302.0,85.0,397,213,443,223,29,7,11,2018,2018-07-11 14:30:00,2018-7-11,1692.0
15:00:00,2018-07-11 15:00:00,297.0,113.0,455,248,487,261,32,7,11,2018,2018-07-11 15:00:00,2018-7-11,1893.0
15:30:00,2018-07-11 15:30:00,240.0,158.0,454,227,529,190,29,7,11,2018,2018-07-11 15:30:00,2018-7-11,1827.0
16:00:00,2018-07-11 16:00:00,180.0,189.0,449,242,480,272,27,7,11,2018,2018-07-11 16:00:00,2018-7-11,1839.0
16:30:00,2018-07-11 16:30:00,208.0,271.0,447,253,531,208,34,7,11,2018,2018-07-11 16:30:00,2018-7-11,1952.0
17:00:00,2018-07-11 17:00:00,199.0,314.0,458,255,518,206,30,7,11,2018,2018-07-11 17:00:00,2018-7-11,1980.0
17:30:00,2018-07-11 17:30:00,175.0,303.0,422,234,438,223,29,7,11,2018,2018-07-11 17:30:00,2018-7-11,1824.0
18:00:00,2018-07-11 18:00:00,144.0,186.0,312,190,352,146,18,7,11,2018,2018-07-11 18:00:00,2018-7-11,1348.0
18:30:00,2018-07-11 18:30:00,112.0,145.0,338,179,360,163,18,7,11,2018,2018-07-11 18:30:00,2018-7-11,1315.0
19:00:00,2018-07-11 19:00:00,138.0,109.0,341,198,373,215,21,7,11,2018,2018-07-11 19:00:00,2018-7-11,1395.0
19:30:00,2018-07-11 19:30:00,94.0,69.0,301,187,380,179,21,7,11,2018,2018-07-11 19:30:00,2018-7-11,1231.0
20:00:00,2018-07-11 20:00:00,90.0,55.0,260,145,301,142,17,7,11,2018,2018-07-11 20:00:00,2018-7-11,1010.0
20:30:00,2018-07-11 20:30:00,100.0,57.0,282,140,297,143,19,7,11,2018,2018-07-11 20:30:00,2018-7-11,1038.0
21:00:00,2018-07-11 21:00:00,95.0,81.0,286,185,329,200,23,7,11,2018,2018-07-11 21:00:00,2018-7-11,1199.0
