time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-04-23 00:00:00,9.0,39.0,140,83,149,78,9,4,23,2018,2018-04-23 00:00:00,2018-4-23,507.0
00:30:00,2018-04-23 00:30:00,12.0,19.0,70,41,79,34,5,4,23,2018,2018-04-23 00:30:00,2018-4-23,260.0
01:00:00,2018-04-23 01:00:00,9.0,13.0,45,23,46,25,3,4,23,2018,2018-04-23 01:00:00,2018-4-23,164.0
01:30:00,2018-04-23 01:30:00,8.0,11.0,26,14,29,15,2,4,23,2018,2018-04-23 01:30:00,2018-4-23,105.0
02:00:00,2018-04-23 02:00:00,9.0,17.0,13,7,14,7,1,4,23,2018,2018-04-23 02:00:00,2018-4-23,68.0
02:30:00,2018-04-23 02:30:00,39.0,19.0,17,10,20,10,1,4,23,2018,2018-04-23 02:30:00,2018-4-23,116.0
03:00:00,2018-04-23 03:00:00,72.0,22.0,38,19,42,23,3,4,23,2018,2018-04-23 03:00:00,2018-4-23,219.0
03:30:00,2018-04-23 03:30:00,230.0,32.0,92,52,90,42,5,4,23,2018,2018-04-23 03:30:00,2018-4-23,543.0
04:00:00,2018-04-23 04:00:00,359.0,31.0,157,78,166,78,10,4,23,2018,2018-04-23 04:00:00,2018-4-23,879.0
04:30:00,2018-04-23 04:30:00,536.0,61.0,235,145,261,131,15,4,23,2018,2018-04-23 04:30:00,2018-4-23,1384.0
05:00:00,2018-04-23 05:00:00,734.0,45.0,341,191,371,167,25,4,23,2018,2018-04-23 05:00:00,2018-4-23,1874.0
05:30:00,2018-04-23 05:30:00,1139.0,77.0,499,299,575,288,28,4,23,2018,2018-04-23 05:30:00,2018-4-23,2905.0
06:00:00,2018-04-23 06:00:00,650.0,90.0,361,203,402,156,26,4,23,2018,2018-04-23 06:00:00,2018-4-23,1888.0
06:30:00,2018-04-23 06:30:00,572.0,179.0,235,139,277,117,14,4,23,2018,2018-04-23 06:30:00,2018-4-23,1533.0
07:00:00,2018-04-23 07:00:00,754.0,261.0,275,166,345,123,19,4,23,2018,2018-04-23 07:00:00,2018-4-23,1943.0
07:30:00,2018-04-23 07:30:00,859.0,352.0,366,191,406,242,27,4,23,2018,2018-04-23 07:30:00,2018-4-23,2443.0
08:00:00,2018-04-23 08:00:00,676.0,270.0,354,215,389,161,27,4,23,2018,2018-04-23 08:00:00,2018-4-23,2092.0
08:30:00,2018-04-23 08:30:00,642.0,222.0,371,192,430,175,19,4,23,2018,2018-04-23 08:30:00,2018-4-23,2051.0
09:00:00,2018-04-23 09:00:00,597.0,133.0,419,230,477,194,31,4,23,2018,2018-04-23 09:00:00,2018-4-23,2081.0
09:30:00,2018-04-23 09:30:00,404.0,97.0,481,263,505,217,31,4,23,2018,2018-04-23 09:30:00,2018-4-23,1998.0
10:00:00,2018-04-23 10:00:00,394.0,121.0,390,188,405,209,27,4,23,2018,2018-04-23 10:00:00,2018-4-23,1734.0
10:30:00,2018-04-23 10:30:00,516.0,107.0,389,219,421,227,27,4,23,2018,2018-04-23 10:30:00,2018-4-23,1906.0
11:00:00,2018-04-23 11:00:00,461.0,96.0,409,215,440,226,34,4,23,2018,2018-04-23 11:00:00,2018-4-23,1881.0
11:30:00,2018-04-23 11:30:00,406.0,121.0,350,186,383,196,23,4,23,2018,2018-04-23 11:30:00,2018-4-23,1665.0
12:00:00,2018-04-23 12:00:00,379.0,106.0,338,187,363,188,21,4,23,2018,2018-04-23 12:00:00,2018-4-23,1582.0
12:30:00,2018-04-23 12:30:00,542.0,120.0,360,188,428,201,25,4,23,2018,2018-04-23 12:30:00,2018-4-23,1864.0
13:00:00,2018-04-23 13:00:00,526.0,94.0,414,231,474,228,22,4,23,2018,2018-04-23 13:00:00,2018-4-23,1989.0
13:30:00,2018-04-23 13:30:00,350.0,94.0,386,210,434,236,24,4,23,2018,2018-04-23 13:30:00,2018-4-23,1734.0
14:00:00,2018-04-23 14:00:00,297.0,104.0,362,213,406,196,28,4,23,2018,2018-04-23 14:00:00,2018-4-23,1606.0
14:30:00,2018-04-23 14:30:00,334.0,108.0,361,193,387,191,25,4,23,2018,2018-04-23 14:30:00,2018-4-23,1599.0
15:00:00,2018-04-23 15:00:00,334.0,101.0,410,221,468,241,26,4,23,2018,2018-04-23 15:00:00,2018-4-23,1801.0
15:30:00,2018-04-23 15:30:00,306.0,133.0,379,222,463,246,25,4,23,2018,2018-04-23 15:30:00,2018-4-23,1774.0
16:00:00,2018-04-23 16:00:00,219.0,183.0,393,221,446,190,24,4,23,2018,2018-04-23 16:00:00,2018-4-23,1676.0
16:30:00,2018-04-23 16:30:00,269.0,253.0,378,194,448,219,26,4,23,2018,2018-04-23 16:30:00,2018-4-23,1787.0
17:00:00,2018-04-23 17:00:00,231.0,309.0,433,222,472,252,27,4,23,2018,2018-04-23 17:00:00,2018-4-23,1946.0
17:30:00,2018-04-23 17:30:00,134.0,226.0,425,237,479,212,29,4,23,2018,2018-04-23 17:30:00,2018-4-23,1742.0
18:00:00,2018-04-23 18:00:00,78.0,166.0,319,171,397,198,22,4,23,2018,2018-04-23 18:00:00,2018-4-23,1351.0
