,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,106,65,113,68,7,108,65,114,70,9,366,359,27.0,725
1,87,48,85,38,9,87,48,87,38,10,270,267,18.0,537
2,50,31,56,29,3,51,31,58,29,5,174,169,17.0,343
3,27,17,36,15,3,27,17,36,17,3,100,98,13.0,198
4,21,12,19,12,3,22,14,21,14,3,74,67,10.0,141
5,27,19,29,21,10,27,21,31,22,10,111,106,16.0,217
6,46,34,50,29,19,48,34,51,31,19,183,178,19.0,361
7,106,73,109,80,39,108,75,109,80,39,411,407,29.0,818
8,162,114,169,109,62,162,116,169,109,62,618,616,24.0,1234
9,248,173,277,173,96,248,174,277,173,96,968,967,40.0,1935
10,343,231,367,219,120,345,232,367,219,121,1284,1280,43.0,2564
11,417,287,480,294,154,419,287,482,296,155,1639,1632,65.0,3271
12,311,224,352,249,106,311,226,352,249,106,1244,1242,94.0,2486
13,256,174,272,166,94,258,176,272,167,94,967,962,173.0,1929
14,345,251,369,224,128,345,253,371,224,128,1321,1317,223.0,2638
15,384,260,410,311,135,384,260,410,311,135,1500,1500,319.0,3000
16,361,234,422,219,92,361,234,422,219,92,1328,1328,253.0,2656
17,395,285,439,263,101,396,285,439,263,103,1486,1483,187.0,2969
18,443,282,495,267,92,444,284,495,268,92,1583,1579,127.0,3162
19,398,243,402,265,82,400,243,403,265,82,1393,1390,109.0,2783
20,345,222,376,190,68,345,224,376,191,70,1206,1201,102.0,2407
21,378,219,400,210,77,379,220,402,210,77,1288,1284,86.0,2572
22,395,261,424,246,84,395,261,425,246,85,1412,1410,84.0,2822
23,402,256,449,220,75,402,256,451,220,77,1406,1402,88.0,2808
24,328,219,384,215,65,330,220,384,217,67,1218,1211,102.0,2429
25,420,272,432,231,80,422,273,434,232,80,1441,1435,108.0,2876
26,475,282,489,299,94,475,282,490,299,96,1642,1639,95.0,3281
27,487,277,514,285,91,489,278,514,287,91,1659,1654,93.0,3313
28,390,243,432,258,68,391,243,432,260,68,1394,1391,88.0,2785
29,431,278,436,282,79,432,278,436,282,79,1507,1506,119.0,3013
30,470,258,485,273,68,472,260,485,273,70,1560,1554,103.0,3114
31,453,255,542,302,70,454,255,542,302,70,1623,1622,160.0,3245
32,436,277,495,248,56,437,277,495,249,58,1516,1512,225.0,3028
33,444,267,492,325,68,446,267,492,326,68,1599,1596,407.0,3195
34,484,260,480,236,72,485,260,480,237,72,1534,1532,431.0,3066
35,454,249,451,253,55,454,249,451,253,55,1462,1462,368.0,2924
36,386,220,413,267,46,388,220,415,268,48,1339,1332,147.0,2671
37,381,227,405,183,48,383,229,405,185,50,1252,1244,101.0,2496
38,390,222,412,191,46,390,222,412,191,46,1261,1261,87.0,2522
39,376,220,444,174,41,376,222,444,176,43,1261,1255,40.0,2516
40,263,144,299,142,29,263,145,299,144,31,882,877,54.0,1759
41,265,162,316,147,36,267,162,316,147,36,928,926,55.0,1854
42,319,188,355,166,36,321,190,355,167,38,1071,1064,44.0,2135
43,285,159,335,169,32,285,161,335,169,34,984,980,36.0,1964
44,205,120,236,132,17,205,121,237,132,19,714,710,32.0,1424
45,193,111,222,104,19,193,111,222,104,21,651,649,28.0,1300
46,198,118,231,132,15,200,118,232,133,17,700,694,27.0,1394
47,154,85,166,91,10,154,85,167,92,12,510,506,41.0,1016
