,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,91,48,99,50,7,92,48,101,50,7,298,295,20.0,593
1,67,32,72,32,7,67,32,73,32,9,213,210,17.0,423
2,36,26,43,24,3,38,26,44,26,3,137,132,15.0,269
3,26,17,29,14,2,26,19,31,14,3,93,88,10.0,181
4,24,15,27,12,2,26,15,27,14,3,85,80,13.0,165
5,29,21,32,17,9,31,21,34,19,9,114,108,12.0,222
6,38,26,38,27,14,38,27,39,29,15,148,143,20.0,291
7,91,62,99,62,36,92,62,99,63,36,352,350,18.0,702
8,135,96,137,104,46,135,96,137,106,48,522,518,25.0,1040
9,210,159,226,132,75,210,159,227,133,77,806,802,21.0,1608
10,210,135,222,144,55,210,137,224,145,56,772,766,28.0,1538
11,222,155,239,149,60,222,157,239,149,62,829,825,26.0,1654
12,200,125,208,114,50,202,126,208,114,50,700,697,32.0,1397
13,190,121,203,128,50,191,123,203,128,51,696,692,28.0,1388
14,214,138,222,150,55,214,138,222,152,56,782,779,28.0,1561
15,234,159,246,128,55,234,161,248,128,55,826,822,37.0,1648
16,294,169,282,161,58,294,171,284,161,60,970,964,50.0,1934
17,335,217,408,248,80,335,219,410,248,82,1294,1288,51.0,2582
18,407,236,431,258,79,408,237,432,260,79,1416,1411,71.0,2827
19,359,229,410,195,70,361,229,412,195,72,1269,1263,71.0,2532
20,275,173,299,188,53,277,174,301,190,53,995,988,59.0,1983
21,323,210,361,207,58,325,210,361,208,60,1164,1159,86.0,2323
22,354,214,379,198,51,354,214,379,198,53,1198,1196,81.0,2394
23,304,185,340,174,53,304,185,342,176,53,1060,1056,73.0,2116
24,277,171,319,161,50,277,173,319,161,50,980,978,79.0,1958
25,331,198,345,198,62,333,200,345,200,63,1141,1134,90.0,2275
26,376,241,400,207,63,376,241,400,208,65,1290,1287,81.0,2577
27,408,255,478,251,72,410,255,480,253,72,1470,1464,76.0,2934
28,379,212,384,191,51,381,212,386,191,53,1223,1217,41.0,2440
29,342,212,352,176,51,343,214,352,178,53,1140,1133,41.0,2273
30,361,215,379,186,44,361,215,379,186,44,1185,1185,72.0,2370
31,338,193,338,130,43,340,193,338,130,43,1044,1042,77.0,2086
32,290,147,325,167,31,290,149,325,169,32,965,960,66.0,1925
33,342,190,337,154,41,343,191,338,154,41,1067,1064,97.0,2131
34,311,178,347,193,36,311,179,349,193,38,1070,1065,107.0,2135
35,275,159,306,144,27,277,159,306,145,29,916,911,70.0,1827
36,176,101,208,99,19,176,101,210,99,19,605,603,62.0,1208
37,174,108,203,103,17,174,108,203,103,19,607,605,46.0,1212
38,210,128,226,108,21,212,128,227,108,21,696,693,60.0,1389
39,179,96,207,92,19,179,96,208,94,21,598,593,38.0,1191
40,145,85,150,85,17,147,85,150,85,19,486,482,39.0,968
41,149,91,173,94,19,150,92,174,94,21,531,526,43.0,1057
42,155,82,162,94,17,155,84,162,94,17,512,510,53.0,1022
43,137,75,140,72,14,138,75,140,72,14,439,438,35.0,877
44,120,67,135,63,10,121,67,135,65,12,400,395,51.0,795
45,132,77,142,77,12,132,77,144,77,12,442,440,66.0,882
46,130,79,154,75,9,132,79,154,77,10,452,447,58.0,899
47,116,65,121,56,10,118,65,121,58,10,372,368,35.0,740
