,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,94,46,99,48,9,94,46,101,50,9,300,296,33.0,596
1,56,34,67,32,5,58,36,68,34,7,203,194,21.0,397
2,38,21,43,24,5,39,22,43,24,5,133,131,10.0,264
3,22,14,27,17,3,22,14,27,17,3,83,83,9.0,166
4,14,9,17,9,3,15,10,17,9,5,56,52,9.0,108
5,21,14,22,12,5,22,14,22,14,7,79,74,16.0,153
6,44,31,48,31,17,46,31,50,32,17,176,171,20.0,347
7,101,73,108,58,34,103,73,108,60,36,380,374,24.0,754
8,126,92,133,91,48,128,92,133,91,48,492,490,21.0,982
9,181,128,196,116,63,181,130,198,118,63,690,684,23.0,1374
10,277,183,311,186,79,277,183,311,186,79,1036,1036,25.0,2072
11,323,210,367,186,92,323,210,369,188,92,1182,1178,33.0,2360
12,248,159,261,164,62,248,159,263,166,62,898,894,32.0,1792
13,210,121,208,126,53,212,123,208,126,55,724,718,62.0,1442
14,237,159,268,130,60,239,161,268,132,62,862,854,56.0,1716
15,267,162,302,171,56,267,164,302,173,56,962,958,59.0,1920
16,237,144,244,147,41,237,144,244,149,43,817,813,43.0,1630
17,275,171,297,193,62,275,173,299,193,62,1002,998,61.0,2000
18,304,188,325,166,51,304,188,326,167,53,1038,1034,68.0,2072
19,272,176,321,157,50,273,178,321,159,51,982,976,60.0,1958
20,236,135,261,142,34,237,135,261,144,36,813,808,67.0,1621
21,261,171,282,132,39,263,171,282,132,41,889,885,71.0,1774
22,258,154,308,137,41,258,155,309,138,41,901,898,61.0,1799
23,249,137,278,133,34,249,138,278,135,36,836,831,77.0,1667
24,220,132,239,137,36,220,132,241,137,36,766,764,73.0,1530
25,253,138,255,169,44,255,138,255,171,46,865,859,90.0,1724
26,282,171,330,171,55,284,173,331,173,55,1016,1009,89.0,2025
27,335,202,402,190,58,335,203,402,190,60,1190,1187,82.0,2377
28,256,159,301,150,38,256,161,301,152,38,908,904,92.0,1812
29,244,149,267,157,41,244,149,268,159,41,861,858,98.0,1719
30,284,152,309,167,34,285,154,311,169,36,955,946,94.0,1901
31,282,174,296,144,31,284,176,296,145,32,933,927,99.0,1860
32,263,138,289,140,26,263,140,290,140,26,859,856,95.0,1715
33,273,152,294,130,26,275,152,296,132,27,882,875,83.0,1757
34,243,157,292,142,29,244,157,292,142,29,864,863,84.0,1727
35,249,135,265,128,26,249,135,267,128,27,806,803,74.0,1609
36,185,116,185,101,19,186,118,186,101,19,610,606,81.0,1216
37,174,114,196,96,19,176,114,196,97,19,602,599,58.0,1201
38,222,120,237,106,24,224,121,239,106,24,714,709,62.0,1423
39,198,111,236,103,19,200,111,236,103,21,671,667,57.0,1338
40,150,82,164,87,15,152,84,164,89,15,504,498,53.0,1002
41,150,79,154,87,17,150,80,154,87,19,490,487,54.0,977
42,133,82,133,68,17,133,82,133,68,19,435,433,49.0,868
43,101,60,118,55,14,101,60,118,56,14,349,348,55.0,697
44,94,53,101,60,10,94,55,101,62,10,322,318,45.0,640
45,111,63,114,43,12,113,63,114,43,12,345,343,36.0,688
46,104,63,111,51,10,106,63,111,51,12,343,339,33.0,682
47,101,62,118,55,7,103,63,120,56,7,349,343,23.0,692
