,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,111,55,111,62,7,111,55,111,62,9,348,346,21.0,694
1,80,46,87,34,7,80,48,87,34,7,256,254,17.0,510
2,51,31,60,27,3,53,32,62,27,5,179,172,10.0,351
3,31,19,32,15,3,32,19,34,17,3,105,100,4.0,205
4,26,19,31,17,3,27,19,32,17,5,100,96,11.0,196
5,31,19,32,19,7,32,21,32,21,9,115,108,11.0,223
6,50,32,56,29,14,51,32,58,29,15,185,181,11.0,366
7,118,85,133,75,43,120,85,133,77,43,458,454,28.0,912
8,195,138,210,137,63,195,138,210,137,63,743,743,23.0,1486
9,277,202,304,210,101,278,203,306,210,101,1098,1094,40.0,2192
10,349,231,396,255,118,350,231,398,256,120,1355,1349,55.0,2704
11,478,349,494,326,176,480,349,495,328,178,1830,1823,52.0,3653
12,313,212,342,227,109,313,214,343,229,109,1208,1203,88.0,2411
13,265,186,277,179,96,267,188,278,181,96,1010,1003,167.0,2013
14,376,272,410,287,154,378,272,412,289,154,1505,1499,267.0,3004
15,396,294,446,280,144,398,294,446,280,144,1562,1560,376.0,3122
16,362,237,379,224,104,362,237,379,224,104,1306,1306,330.0,2612
17,465,263,463,277,104,465,265,465,278,106,1579,1572,286.0,3151
18,454,292,480,256,109,456,294,482,256,109,1597,1591,134.0,3188
19,434,275,431,251,92,434,277,432,251,92,1486,1483,97.0,2969
20,355,220,422,241,65,355,220,422,243,67,1307,1303,99.0,2610
21,383,236,446,251,77,384,237,446,251,77,1395,1393,77.0,2788
22,384,244,427,237,84,384,244,429,237,84,1378,1376,91.0,2754
23,325,198,367,234,72,325,200,369,234,73,1201,1196,95.0,2397
24,361,215,343,219,73,362,217,345,219,75,1218,1211,119.0,2429
25,398,261,449,246,92,400,263,449,248,92,1452,1446,117.0,2898
26,444,268,448,239,97,444,270,448,239,97,1498,1496,99.0,2994
27,432,290,485,231,92,434,292,487,231,92,1536,1530,95.0,3066
28,376,226,371,185,62,376,227,371,185,63,1222,1220,107.0,2442
29,383,232,407,219,67,383,232,408,219,67,1309,1308,114.0,2617
30,383,227,454,261,65,383,227,454,263,65,1392,1390,120.0,2782
31,431,258,446,205,67,431,260,448,205,67,1411,1407,127.0,2818
32,354,229,425,207,55,355,231,425,208,56,1275,1270,224.0,2545
33,383,244,419,234,65,383,246,419,234,67,1349,1345,328.0,2694
34,378,214,413,195,48,378,215,413,195,50,1251,1248,399.0,2499
35,342,200,412,171,46,343,200,413,173,48,1177,1171,300.0,2348
36,343,178,359,116,34,345,178,361,116,36,1036,1030,182.0,2066
37,311,186,349,181,36,311,186,350,181,36,1064,1063,139.0,2127
38,337,208,361,174,41,337,208,361,174,41,1121,1121,97.0,2242
39,292,166,316,121,29,294,167,316,123,29,929,924,73.0,1853
40,224,123,260,104,26,224,123,260,106,26,739,737,66.0,1476
41,226,135,277,145,29,227,135,277,145,31,815,812,54.0,1627
42,316,185,335,191,29,318,186,337,193,29,1063,1056,90.0,2119
43,239,145,241,164,29,239,145,243,166,31,824,818,44.0,1642
44,203,103,212,106,17,203,104,212,106,17,642,641,46.0,1283
45,183,120,214,133,19,185,121,215,135,21,677,669,47.0,1346
46,193,97,217,87,19,195,99,217,87,21,619,613,31.0,1232
47,152,77,149,63,12,152,77,149,65,12,455,453,30.0,908
