time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-05-27 00:00:00,10.0,36.0,106,62,116,61,7,5,27,2018,2018-05-27 00:00:00,2018-5-27,398.0
00:30:00,2018-05-27 00:30:00,6.0,29.0,76,48,84,43,6,5,27,2018,2018-05-27 00:30:00,2018-5-27,292.0
01:00:00,2018-05-27 01:00:00,5.0,18.0,45,26,50,25,3,5,27,2018,2018-05-27 01:00:00,2018-5-27,172.0
01:30:00,2018-05-27 01:30:00,8.0,17.0,17,9,19,9,1,5,27,2018,2018-05-27 01:30:00,2018-5-27,80.0
02:00:00,2018-05-27 02:00:00,14.0,24.0,13,7,14,6,1,5,27,2018,2018-05-27 02:00:00,2018-5-27,79.0
02:30:00,2018-05-27 02:30:00,35.0,20.0,20,11,24,9,1,5,27,2018,2018-05-27 02:30:00,2018-5-27,120.0
03:00:00,2018-05-27 03:00:00,59.0,40.0,40,22,48,20,2,5,27,2018,2018-05-27 03:00:00,2018-5-27,231.0
03:30:00,2018-05-27 03:30:00,122.0,40.0,90,53,108,51,7,5,27,2018,2018-05-27 03:30:00,2018-5-27,471.0
04:00:00,2018-05-27 04:00:00,173.0,59.0,136,75,142,95,9,5,27,2018,2018-05-27 04:00:00,2018-5-27,689.0
04:30:00,2018-05-27 04:30:00,272.0,95.0,176,105,219,111,13,5,27,2018,2018-05-27 04:30:00,2018-5-27,991.0
05:00:00,2018-05-27 05:00:00,211.0,92.0,205,124,242,117,16,5,27,2018,2018-05-27 05:00:00,2018-5-27,1007.0
05:30:00,2018-05-27 05:30:00,273.0,89.0,260,136,277,131,16,5,27,2018,2018-05-27 05:30:00,2018-5-27,1182.0
06:00:00,2018-05-27 06:00:00,129.0,69.0,170,95,190,101,12,5,27,2018,2018-05-27 06:00:00,2018-5-27,766.0
06:30:00,2018-05-27 06:30:00,117.0,76.0,166,96,178,79,9,5,27,2018,2018-05-27 06:30:00,2018-5-27,721.0
07:00:00,2018-05-27 07:00:00,151.0,92.0,197,110,233,125,14,5,27,2018,2018-05-27 07:00:00,2018-5-27,922.0
07:30:00,2018-05-27 07:30:00,158.0,99.0,236,128,264,143,17,5,27,2018,2018-05-27 07:30:00,2018-5-27,1045.0
08:00:00,2018-05-27 08:00:00,116.0,96.0,265,133,293,115,17,5,27,2018,2018-05-27 08:00:00,2018-5-27,1035.0
08:30:00,2018-05-27 08:30:00,160.0,122.0,289,149,299,161,18,5,27,2018,2018-05-27 08:30:00,2018-5-27,1198.0
09:00:00,2018-05-27 09:00:00,151.0,108.0,338,170,352,160,22,5,27,2018,2018-05-27 09:00:00,2018-5-27,1301.0
09:30:00,2018-05-27 09:30:00,150.0,124.0,297,172,358,191,24,5,27,2018,2018-05-27 09:30:00,2018-5-27,1316.0
10:00:00,2018-05-27 10:00:00,105.0,97.0,259,142,303,139,19,5,27,2018,2018-05-27 10:00:00,2018-5-27,1064.0
10:30:00,2018-05-27 10:30:00,126.0,146.0,314,179,345,127,20,5,27,2018,2018-05-27 10:30:00,2018-5-27,1257.0
