,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,72,36,80,44,5,73,36,82,44,7,242,237,25.0,479
1,26,15,31,14,3,26,17,32,15,3,93,89,20.0,182
2,26,15,29,10,2,26,17,29,12,2,86,82,16.0,168
3,19,12,19,10,2,19,12,21,12,2,66,62,11.0,128
4,15,9,21,9,2,15,10,21,10,3,59,56,9.0,115
5,24,15,27,21,5,26,15,27,21,5,94,92,10.0,186
6,36,26,39,26,12,36,26,39,26,14,141,139,17.0,280
7,65,46,70,50,29,67,48,70,51,29,265,260,12.0,525
8,140,99,147,97,50,142,99,149,99,51,540,533,15.0,1073
9,205,142,220,147,73,205,142,222,149,75,793,787,38.0,1580
10,198,147,226,135,63,200,149,227,135,65,776,769,32.0,1545
11,277,176,285,159,80,277,178,285,161,82,983,977,35.0,1960
12,198,120,214,138,50,198,120,215,140,51,724,720,42.0,1444
13,167,114,195,94,44,169,116,195,96,46,622,614,46.0,1236
14,222,144,236,137,60,222,144,236,138,60,800,799,58.0,1599
15,243,166,268,144,60,244,166,270,145,60,885,881,92.0,1766
16,215,144,237,125,51,217,145,237,126,53,778,772,61.0,1550
17,234,147,265,150,50,236,149,265,152,50,852,846,70.0,1698
18,268,157,287,152,43,270,159,289,154,44,916,907,82.0,1823
19,237,147,261,149,44,237,149,263,149,46,844,838,75.0,1682
20,198,120,214,118,31,198,120,214,120,31,683,681,90.0,1364
21,219,132,232,113,39,219,133,232,114,39,737,735,72.0,1472
22,253,145,287,120,36,253,145,289,121,38,846,841,94.0,1687
23,226,142,256,126,36,227,142,258,128,38,793,786,87.0,1579
24,215,116,237,123,32,215,116,239,123,34,727,723,91.0,1450
25,214,138,234,137,44,215,140,236,137,44,772,767,99.0,1539
26,237,138,258,147,44,237,138,260,147,44,826,824,105.0,1650
27,255,162,294,173,44,256,162,296,173,46,933,928,97.0,1861
28,229,133,251,133,32,231,133,251,133,32,780,778,131.0,1558
29,237,147,284,149,44,237,147,284,149,44,861,861,94.0,1722
30,243,154,290,138,38,244,154,290,138,39,865,863,109.0,1728
31,239,142,256,138,36,239,144,256,140,38,817,811,112.0,1628
32,207,120,214,130,26,207,120,214,132,27,700,697,108.0,1397
33,243,145,236,114,31,243,145,237,116,32,773,769,100.0,1542
34,207,111,217,130,24,208,111,217,130,26,692,689,74.0,1381
35,200,114,229,132,24,200,114,229,133,26,702,699,103.0,1401
36,150,91,178,101,12,152,92,178,101,14,537,532,88.0,1069
37,144,80,145,79,14,144,82,145,79,15,465,462,77.0,927
38,181,96,183,91,15,183,96,183,92,17,571,566,83.0,1137
39,159,91,179,91,17,159,92,181,92,17,541,537,56.0,1078
40,132,77,128,70,15,133,79,128,72,17,429,422,40.0,851
41,99,56,109,55,14,101,58,109,55,14,337,333,46.0,670
42,108,65,126,58,14,109,67,128,60,15,379,371,50.0,750
43,99,62,118,58,12,99,63,120,60,14,356,349,48.0,705
44,97,53,103,44,9,99,55,104,44,10,312,306,29.0,618
45,101,55,106,50,10,103,56,106,50,12,327,322,30.0,649
46,68,43,79,38,9,70,43,79,39,9,240,237,25.0,477
47,65,38,77,41,5,65,38,79,43,7,232,226,23.0,458
