,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,94,55,103,60,9,96,55,103,60,9,323,321,40.0,644
1,36,22,41,22,3,36,24,43,22,3,128,124,33.0,252
2,38,19,39,21,2,39,19,39,21,3,121,119,12.0,240
3,21,15,21,10,2,22,15,22,10,3,72,69,15.0,141
4,17,10,21,12,3,17,10,21,12,5,65,63,14.0,128
5,19,12,21,12,5,21,14,22,14,5,76,69,16.0,145
6,29,21,31,21,12,31,22,31,22,14,120,114,12.0,234
7,68,46,72,46,26,70,46,73,48,26,263,258,22.0,521
8,128,87,138,87,46,130,89,140,87,48,494,486,25.0,980
9,217,147,226,145,75,219,147,226,145,77,814,810,31.0,1624
10,267,188,292,171,79,267,188,292,173,80,1000,997,28.0,1997
11,345,234,361,226,101,347,234,362,226,103,1272,1267,42.0,2539
12,205,137,234,138,56,205,137,234,138,58,772,770,48.0,1542
13,176,97,183,123,44,178,99,185,125,44,631,623,46.0,1254
14,237,147,253,150,62,237,149,255,152,62,855,849,62.0,1704
15,267,178,280,179,73,268,179,280,181,73,981,977,73.0,1958
16,219,126,243,126,44,219,128,243,128,44,762,758,45.0,1520
17,277,169,278,137,56,278,169,280,137,58,922,917,62.0,1839
18,294,181,342,167,56,296,181,342,169,58,1046,1040,88.0,2086
19,314,181,347,188,55,314,183,349,190,55,1091,1085,105.0,2176
20,261,154,284,137,39,263,155,284,138,41,881,875,85.0,1756
21,232,145,261,149,38,234,145,263,150,38,830,825,93.0,1655
22,251,152,270,144,39,251,154,272,145,39,861,856,118.0,1717
23,253,152,282,179,50,253,154,284,181,51,923,916,90.0,1839
24,224,132,234,137,38,226,132,236,137,39,770,765,111.0,1535
25,260,162,287,167,53,261,162,289,167,53,932,929,126.0,1861
26,311,188,338,198,51,313,190,340,198,51,1092,1086,108.0,2178
27,316,181,371,171,50,316,181,371,173,51,1092,1089,111.0,2181
28,260,159,311,169,39,260,161,313,169,39,942,938,97.0,1880
29,256,155,289,154,38,258,157,290,155,39,899,892,98.0,1791
30,297,183,349,150,38,297,185,350,150,39,1021,1017,114.0,2038
31,270,159,323,195,39,272,161,325,196,39,993,986,94.0,1979
32,246,135,282,152,26,248,137,284,152,26,847,841,94.0,1688
33,265,150,289,150,31,267,152,289,152,31,891,885,111.0,1776
34,284,152,306,150,31,284,154,306,150,32,926,923,99.0,1849
35,253,137,284,137,27,255,137,285,138,27,842,838,99.0,1680
36,173,94,181,75,15,173,96,183,77,17,546,538,81.0,1084
37,169,97,193,96,19,171,97,195,96,21,580,574,98.0,1154
38,232,128,249,123,21,232,130,251,123,21,757,753,82.0,1510
39,167,96,208,92,15,169,97,208,94,17,585,578,57.0,1163
40,137,80,147,67,17,138,80,149,68,19,454,448,58.0,902
41,133,72,125,79,19,135,72,125,79,19,430,428,46.0,858
42,137,77,149,67,15,138,77,149,67,17,448,445,51.0,893
43,130,72,144,75,15,132,73,145,75,15,440,436,53.0,876
44,108,65,106,67,10,108,65,108,68,10,359,356,54.0,715
45,103,62,101,58,12,104,62,101,58,12,337,336,37.0,673
46,79,43,89,46,12,79,44,89,48,12,272,269,37.0,541
47,67,39,80,32,5,67,41,80,32,7,227,223,31.0,450
