,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,63,36,79,34,5,65,38,80,34,7,224,217,28.0,441
1,38,22,48,21,3,39,24,48,21,5,137,132,9.0,269
2,21,14,22,10,3,21,14,24,10,3,72,70,13.0,142
3,17,10,21,15,2,19,10,21,15,3,68,65,10.0,133
4,21,12,22,10,3,22,12,24,12,3,73,68,13.0,141
5,21,14,19,15,5,21,14,21,15,7,78,74,7.0,152
6,34,26,41,26,14,34,26,41,26,15,142,141,8.0,283
7,84,65,96,63,29,84,65,96,63,31,339,337,17.0,676
8,145,97,154,87,51,145,99,154,89,53,540,534,25.0,1074
9,220,159,231,152,80,222,161,232,154,80,849,842,32.0,1691
10,297,207,318,188,99,299,208,318,188,101,1114,1109,49.0,2223
11,391,255,439,277,145,393,256,439,277,147,1512,1507,72.0,3019
12,285,193,304,190,97,287,193,306,190,99,1075,1069,91.0,2144
13,226,159,239,162,80,226,159,239,164,80,868,866,179.0,1734
14,306,207,323,210,106,308,208,323,212,108,1159,1152,194.0,2311
15,311,212,345,226,104,313,212,347,226,104,1202,1198,337.0,2400
16,287,203,340,193,77,289,203,340,193,79,1104,1100,290.0,2204
17,374,231,400,224,91,376,231,400,226,92,1325,1320,246.0,2645
18,424,248,444,258,92,424,249,444,258,92,1467,1466,128.0,2933
19,347,224,396,174,72,347,226,398,174,73,1218,1213,101.0,2431
20,314,164,337,174,56,316,164,338,176,56,1050,1045,101.0,2095
21,326,207,366,198,62,326,208,366,200,62,1162,1159,118.0,2321
22,343,205,369,224,68,345,207,371,224,68,1215,1209,99.0,2424
23,337,188,357,202,70,337,190,359,202,70,1158,1154,105.0,2312
24,270,173,309,171,60,270,174,311,173,60,988,983,119.0,1971
25,316,210,349,203,75,318,210,350,205,77,1160,1153,121.0,2313
26,372,249,403,263,92,372,249,403,263,94,1381,1379,116.0,2760
27,400,248,463,249,84,400,248,463,249,84,1444,1444,145.0,2888
28,372,227,432,222,55,372,229,432,222,56,1311,1308,102.0,2619
29,354,217,410,202,62,354,219,410,203,62,1248,1245,134.0,2493
30,405,246,419,285,68,405,246,420,285,68,1424,1423,161.0,2847
31,390,248,441,212,58,390,249,441,214,58,1352,1349,172.0,2701
32,378,237,396,202,53,379,237,396,203,55,1270,1266,273.0,2536
33,335,210,393,222,55,335,210,393,222,56,1216,1215,428.0,2431
34,369,226,420,231,51,369,226,420,232,51,1298,1297,603.0,2595
35,453,251,472,229,43,454,253,473,231,43,1454,1448,414.0,2902
36,361,207,410,219,38,362,208,410,219,38,1237,1235,305.0,2472
37,267,169,318,178,32,267,171,319,179,34,970,964,467.0,1934
38,361,208,403,203,39,362,210,405,203,41,1221,1214,330.0,2435
39,297,179,337,181,31,299,179,337,183,31,1029,1025,105.0,2054
40,208,126,244,137,24,208,126,244,138,26,742,739,46.0,1481
41,299,188,343,123,32,299,190,345,123,32,989,985,70.0,1974
42,412,222,408,210,31,412,224,410,210,32,1288,1283,63.0,2571
43,270,161,309,179,27,272,162,309,179,27,949,946,32.0,1895
44,179,96,195,108,15,179,96,195,108,15,593,593,63.0,1186
45,150,99,171,77,19,152,101,173,77,21,524,516,98.0,1040
46,152,85,171,73,17,152,85,171,73,17,498,498,109.0,996
47,137,72,142,58,10,137,72,144,60,12,425,419,73.0,844
