time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-09-12 00:00:00,12.0,48.0,67,39,70,37,5,9,12,2018,2018-09-12 00:00:00,2018-9-12,278.0
00:30:00,2018-09-12 00:30:00,12.0,21.0,59,29,63,36,3,9,12,2018,2018-09-12 00:30:00,2018-9-12,223.0
01:00:00,2018-09-12 01:00:00,9.0,17.0,63,38,74,30,4,9,12,2018,2018-09-12 01:00:00,2018-9-12,235.0
01:30:00,2018-09-12 01:30:00,14.0,7.0,21,11,23,10,1,9,12,2018,2018-09-12 01:30:00,2018-9-12,87.0
02:00:00,2018-09-12 02:00:00,17.0,14.0,16,9,16,9,1,9,12,2018,2018-09-12 02:00:00,2018-9-12,82.0
02:30:00,2018-09-12 02:30:00,33.0,16.0,17,9,17,8,1,9,12,2018,2018-09-12 02:30:00,2018-9-12,101.0
03:00:00,2018-09-12 03:00:00,88.0,13.0,38,19,41,24,3,9,12,2018,2018-09-12 03:00:00,2018-9-12,226.0
03:30:00,2018-09-12 03:30:00,198.0,17.0,62,33,73,36,4,9,12,2018,2018-09-12 03:30:00,2018-9-12,423.0
04:00:00,2018-09-12 04:00:00,288.0,25.0,108,63,131,76,7,9,12,2018,2018-09-12 04:00:00,2018-9-12,698.0
04:30:00,2018-09-12 04:30:00,467.0,31.0,155,94,176,76,10,9,12,2018,2018-09-12 04:30:00,2018-9-12,1009.0
05:00:00,2018-09-12 05:00:00,570.0,40.0,235,141,240,119,15,9,12,2018,2018-09-12 05:00:00,2018-9-12,1360.0
05:30:00,2018-09-12 05:30:00,846.0,57.0,301,149,335,172,16,9,12,2018,2018-09-12 05:30:00,2018-9-12,1876.0
06:00:00,2018-09-12 06:00:00,648.0,63.0,264,155,291,167,18,9,12,2018,2018-09-12 06:00:00,2018-9-12,1606.0
06:30:00,2018-09-12 06:30:00,455.0,181.0,176,98,200,94,13,9,12,2018,2018-09-12 06:30:00,2018-9-12,1217.0
07:00:00,2018-09-12 07:00:00,544.0,231.0,224,124,254,133,14,9,12,2018,2018-09-12 07:00:00,2018-9-12,1524.0
07:30:00,2018-09-12 07:30:00,688.0,368.0,256,144,283,133,16,9,12,2018,2018-09-12 07:30:00,2018-9-12,1888.0
08:00:00,2018-09-12 08:00:00,544.0,379.0,296,182,329,120,24,9,12,2018,2018-09-12 08:00:00,2018-9-12,1874.0
08:30:00,2018-09-12 08:30:00,462.0,316.0,325,175,348,176,19,9,12,2018,2018-09-12 08:30:00,2018-9-12,1821.0
09:00:00,2018-09-12 09:00:00,607.0,150.0,435,209,485,260,25,9,12,2018,2018-09-12 09:00:00,2018-9-12,2171.0
09:30:00,2018-09-12 09:30:00,484.0,90.0,446,214,451,164,29,9,12,2018,2018-09-12 09:30:00,2018-9-12,1878.0
10:00:00,2018-09-12 10:00:00,321.0,93.0,334,182,357,182,20,9,12,2018,2018-09-12 10:00:00,2018-9-12,1489.0
10:30:00,2018-09-12 10:30:00,327.0,74.0,350,186,391,189,24,9,12,2018,2018-09-12 10:30:00,2018-9-12,1541.0
11:00:00,2018-09-12 11:00:00,320.0,82.0,338,207,384,210,23,9,12,2018,2018-09-12 11:00:00,2018-9-12,1564.0
11:30:00,2018-09-12 11:30:00,300.0,88.0,319,185,367,186,26,9,12,2018,2018-09-12 11:30:00,2018-9-12,1471.0
12:00:00,2018-09-12 12:00:00,321.0,104.0,309,175,339,194,16,9,12,2018,2018-09-12 12:00:00,2018-9-12,1458.0
12:30:00,2018-09-12 12:30:00,375.0,88.0,356,194,440,181,23,9,12,2018,2018-09-12 12:30:00,2018-9-12,1657.0
13:00:00,2018-09-12 13:00:00,443.0,93.0,401,226,436,200,26,9,12,2018,2018-09-12 13:00:00,2018-9-12,1825.0
13:30:00,2018-09-12 13:30:00,349.0,92.0,384,214,440,180,23,9,12,2018,2018-09-12 13:30:00,2018-9-12,1682.0
14:00:00,2018-09-12 14:00:00,237.0,95.0,340,164,383,196,21,9,12,2018,2018-09-12 14:00:00,2018-9-12,1436.0
14:30:00,2018-09-12 14:30:00,277.0,102.0,335,182,382,189,21,9,12,2018,2018-09-12 14:30:00,2018-9-12,1488.0
15:00:00,2018-09-12 15:00:00,260.0,107.0,372,232,431,197,26,9,12,2018,2018-09-12 15:00:00,2018-9-12,1625.0
15:30:00,2018-09-12 15:30:00,228.0,137.0,391,214,471,184,30,9,12,2018,2018-09-12 15:30:00,2018-9-12,1655.0
16:00:00,2018-09-12 16:00:00,185.0,208.0,368,195,406,205,24,9,12,2018,2018-09-12 16:00:00,2018-9-12,1591.0
16:30:00,2018-09-12 16:30:00,182.0,222.0,399,212,415,236,22,9,12,2018,2018-09-12 16:30:00,2018-9-12,1688.0
17:00:00,2018-09-12 17:00:00,199.0,359.0,391,259,411,224,29,9,12,2018,2018-09-12 17:00:00,2018-9-12,1872.0
17:30:00,2018-09-12 17:30:00,146.0,251.0,377,197,411,201,23,9,12,2018,2018-09-12 17:30:00,2018-9-12,1606.0
18:00:00,2018-09-12 18:00:00,89.0,131.0,330,174,351,163,20,9,12,2018,2018-09-12 18:00:00,2018-9-12,1258.0
18:30:00,2018-09-12 18:30:00,84.0,92.0,353,196,356,189,20,9,12,2018,2018-09-12 18:30:00,2018-9-12,1290.0
19:00:00,2018-09-12 19:00:00,99.0,85.0,351,189,381,187,23,9,12,2018,2018-09-12 19:00:00,2018-9-12,1315.0
19:30:00,2018-09-12 19:30:00,82.0,54.0,346,187,341,140,23,9,12,2018,2018-09-12 19:30:00,2018-9-12,1173.0
20:00:00,2018-09-12 20:00:00,67.0,64.0,211,117,244,121,13,9,12,2018,2018-09-12 20:00:00,2018-9-12,837.0
20:30:00,2018-09-12 20:30:00,90.0,42.0,281,136,307,154,18,9,12,2018,2018-09-12 20:30:00,2018-9-12,1028.0
21:00:00,2018-09-12 21:00:00,70.0,41.0,294,162,357,188,23,9,12,2018,2018-09-12 21:00:00,2018-9-12,1135.0
21:30:00,2018-09-12 21:30:00,64.0,40.0,263,136,274,148,18,9,12,2018,2018-09-12 21:30:00,2018-9-12,943.0
22:00:00,2018-09-12 22:00:00,33.0,32.0,203,111,228,104,13,9,12,2018,2018-09-12 22:00:00,2018-9-12,724.0
22:30:00,2018-09-12 22:30:00,40.0,38.0,194,107,227,113,13,9,12,2018,2018-09-12 22:30:00,2018-9-12,732.0
23:00:00,2018-09-12 23:00:00,24.0,14.0,156,83,165,61,10,9,12,2018,2018-09-12 23:00:00,2018-9-12,513.0
23:30:00,2018-09-12 23:30:00,12.0,19.0,120,66,137,71,8,9,12,2018,2018-09-12 23:30:00,2018-9-12,433.0
