,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,114,68,147,80,14,116,70,147,82,15,430,423,29.0,853
1,68,38,72,38,7,70,39,73,38,7,227,223,16.0,450
2,55,32,58,27,7,55,34,58,27,9,183,179,21.0,362
3,41,24,41,24,3,43,24,41,24,5,137,133,11.0,270
4,26,15,31,15,3,27,17,32,17,3,96,90,11.0,186
5,31,21,34,21,7,32,21,36,21,9,119,114,20.0,233
6,58,38,63,41,14,60,39,63,41,14,217,214,36.0,431
7,113,72,121,67,34,113,72,123,67,36,411,407,49.0,818
8,176,108,178,111,53,176,108,178,113,53,628,626,66.0,1254
9,241,164,251,173,82,243,164,253,173,84,917,911,94.0,1828
10,290,203,355,181,92,290,203,355,181,92,1121,1121,128.0,2242
11,434,306,448,294,144,436,308,449,296,144,1633,1626,143.0,3259
12,330,227,374,208,109,331,229,376,208,109,1253,1248,134.0,2501
13,256,171,277,173,79,258,173,278,174,79,962,956,215.0,1918
14,354,239,408,205,109,354,241,410,205,111,1321,1315,261.0,2636
15,355,244,383,241,99,355,244,384,243,99,1325,1322,337.0,2647
16,326,215,374,205,80,326,217,374,205,82,1204,1200,317.0,2404
17,369,227,403,236,82,371,227,403,236,84,1321,1317,249.0,2638
18,434,272,472,273,82,434,273,472,275,82,1536,1533,215.0,3069
19,372,220,441,241,72,374,222,443,241,73,1353,1346,157.0,2699
20,319,183,326,212,55,319,183,328,212,55,1097,1095,148.0,2192
21,335,207,390,203,56,335,208,391,205,56,1195,1191,136.0,2386
22,362,232,393,210,65,362,234,393,210,67,1266,1262,118.0,2528
23,359,200,391,202,58,359,202,393,203,60,1217,1210,128.0,2427
24,331,205,352,196,58,331,207,352,198,58,1146,1142,130.0,2288
25,384,244,431,234,85,386,244,431,234,87,1382,1378,129.0,2760
26,475,272,461,265,96,475,272,461,267,97,1572,1569,123.0,3141
27,463,260,499,278,85,463,261,501,278,87,1590,1585,120.0,3175
28,395,229,410,224,58,395,231,412,226,60,1324,1316,135.0,2640
29,381,244,420,232,65,381,246,422,234,65,1348,1342,116.0,2690
30,417,265,432,185,58,417,267,432,185,60,1361,1357,144.0,2718
31,408,232,451,219,56,408,232,453,220,56,1369,1366,154.0,2735
32,386,232,403,174,48,388,234,403,176,48,1249,1243,239.0,2492
33,381,231,444,219,48,383,232,444,220,50,1329,1323,310.0,2652
34,357,227,415,220,43,359,227,415,220,44,1265,1262,345.0,2527
35,354,222,393,226,39,355,222,393,227,41,1238,1234,295.0,2472
36,318,195,369,191,36,318,196,371,193,36,1114,1109,198.0,2223
37,337,181,364,174,34,337,181,366,176,36,1096,1090,146.0,2186
38,383,219,403,203,38,384,219,403,205,39,1250,1246,97.0,2496
39,308,179,328,183,31,308,179,328,183,32,1030,1029,78.0,2059
40,255,144,267,114,31,255,144,268,116,31,814,811,72.0,1625
41,285,176,278,157,34,285,178,280,159,36,938,930,62.0,1868
42,311,196,331,202,32,313,198,333,202,34,1080,1072,53.0,2152
43,246,132,270,130,27,246,133,270,130,27,806,805,46.0,1611
44,208,125,260,121,17,208,125,260,121,17,731,731,48.0,1462
45,174,99,195,104,15,176,101,195,106,15,593,587,31.0,1180
46,145,89,167,80,15,145,89,167,82,15,498,496,31.0,994
47,154,80,186,92,12,155,82,186,92,14,529,524,23.0,1053
