,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,84,51,85,44,9,84,53,87,46,10,280,273,36.0,553
1,36,21,39,14,3,36,21,41,15,3,116,113,18.0,229
2,24,14,29,15,3,24,15,29,17,3,88,85,15.0,173
3,21,12,21,12,2,21,12,22,14,2,71,68,13.0,139
4,15,9,17,10,2,15,10,19,10,3,57,53,15.0,110
5,21,12,22,12,5,21,14,22,12,5,74,72,15.0,146
6,36,24,39,22,14,36,26,39,24,14,139,135,11.0,274
7,73,51,75,50,26,73,51,75,51,27,277,275,20.0,552
8,108,79,125,70,39,108,80,125,70,41,424,421,23.0,845
9,176,132,205,128,63,178,132,207,130,63,710,704,27.0,1414
10,237,155,255,154,67,237,157,255,154,67,870,868,44.0,1738
11,313,203,328,162,91,313,205,328,162,91,1099,1097,33.0,2196
12,222,133,243,133,55,222,133,244,135,56,790,786,47.0,1576
13,178,114,205,103,50,178,114,205,104,50,651,650,41.0,1301
14,244,157,256,135,65,244,157,258,135,67,861,857,51.0,1718
15,265,159,278,157,62,267,159,280,159,63,928,921,89.0,1849
16,208,133,258,132,50,208,133,258,132,50,781,781,75.0,1562
17,265,164,289,132,51,267,166,289,132,53,907,901,92.0,1808
18,280,181,326,193,50,282,183,328,195,51,1039,1030,108.0,2069
19,268,157,301,149,43,270,159,302,149,44,924,918,103.0,1842
20,222,123,220,120,29,224,123,220,120,29,716,714,86.0,1430
21,196,125,227,106,36,198,126,229,106,36,695,690,116.0,1385
22,226,149,267,137,44,227,149,267,138,44,825,823,109.0,1648
23,220,149,256,149,39,222,150,258,149,41,820,813,110.0,1633
24,214,116,220,125,34,215,118,222,125,34,714,709,103.0,1423
25,219,138,255,123,44,219,140,255,125,46,785,779,85.0,1564
26,239,161,270,142,50,239,161,272,142,50,864,862,98.0,1726
27,290,183,297,159,46,292,183,297,159,48,979,975,92.0,1954
28,256,157,319,144,36,256,157,321,144,38,916,912,101.0,1828
29,255,147,261,152,38,255,147,263,152,38,855,853,105.0,1708
30,270,162,314,176,38,272,162,316,178,39,967,960,117.0,1927
31,289,167,343,166,41,290,167,345,167,41,1010,1006,146.0,2016
32,253,138,270,149,31,255,140,270,149,31,845,841,177.0,1686
33,277,174,292,144,39,277,174,292,145,39,927,926,183.0,1853
34,277,169,302,150,46,278,169,302,152,48,949,944,137.0,1893
35,232,149,267,137,34,234,150,268,137,34,823,819,136.0,1642
36,157,87,159,99,17,159,87,159,99,19,523,519,107.0,1042
37,128,80,155,75,14,128,82,155,75,15,455,452,85.0,907
38,198,108,231,104,19,198,108,231,106,19,662,660,69.0,1322
39,157,92,186,96,15,157,92,188,96,15,548,546,73.0,1094
40,123,68,120,72,14,125,68,120,72,14,399,397,63.0,796
41,116,75,138,68,21,118,75,138,68,21,420,418,58.0,838
42,123,68,128,72,21,125,68,128,73,21,415,412,56.0,827
43,104,58,121,65,15,106,60,121,67,15,369,363,62.0,732
44,77,41,91,41,10,77,43,92,41,10,263,260,62.0,523
45,82,43,92,41,10,84,44,94,43,10,275,268,44.0,543
46,73,39,82,39,7,73,41,84,39,9,246,240,44.0,486
47,53,29,60,34,7,53,29,60,36,9,187,183,32.0,370
