time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-03-16 00:00:00,15.0,42.0,118,61,117,70,7,3,16,2018,2018-03-16 00:00:00,2018-3-16,430.0
00:30:00,2018-03-16 00:30:00,14.0,33.0,64,35,70,37,3,3,16,2018,2018-03-16 00:30:00,2018-3-16,256.0
01:00:00,2018-03-16 01:00:00,9.0,29.0,17,10,19,10,1,3,16,2018,2018-03-16 01:00:00,2018-3-16,95.0
01:30:00,2018-03-16 01:30:00,3.0,25.0,22,13,25,10,1,3,16,2018,2018-03-16 01:30:00,2018-3-16,99.0
02:00:00,2018-03-16 02:00:00,20.0,24.0,25,14,27,14,2,3,16,2018,2018-03-16 02:00:00,2018-3-16,126.0
02:30:00,2018-03-16 02:30:00,48.0,18.0,21,11,25,14,1,3,16,2018,2018-03-16 02:30:00,2018-3-16,138.0
03:00:00,2018-03-16 03:00:00,74.0,28.0,35,20,39,17,2,3,16,2018,2018-03-16 03:00:00,2018-3-16,215.0
03:30:00,2018-03-16 03:30:00,181.0,36.0,79,45,94,52,7,3,16,2018,2018-03-16 03:30:00,2018-3-16,494.0
04:00:00,2018-03-16 04:00:00,293.0,38.0,143,80,152,73,9,3,16,2018,2018-03-16 04:00:00,2018-3-16,788.0
04:30:00,2018-03-16 04:30:00,460.0,49.0,202,129,239,88,14,3,16,2018,2018-03-16 04:30:00,2018-3-16,1181.0
05:00:00,2018-03-16 05:00:00,414.0,67.0,266,142,276,140,15,3,16,2018,2018-03-16 05:00:00,2018-3-16,1320.0
05:30:00,2018-03-16 05:30:00,546.0,78.0,326,196,350,173,26,3,16,2018,2018-03-16 05:30:00,2018-3-16,1695.0
06:00:00,2018-03-16 06:00:00,306.0,89.0,229,142,244,89,16,3,16,2018,2018-03-16 06:00:00,2018-3-16,1115.0
06:30:00,2018-03-16 06:30:00,325.0,155.0,195,105,209,105,11,3,16,2018,2018-03-16 06:30:00,2018-3-16,1105.0
07:00:00,2018-03-16 07:00:00,385.0,166.0,241,145,266,117,13,3,16,2018,2018-03-16 07:00:00,2018-3-16,1333.0
07:30:00,2018-03-16 07:30:00,390.0,205.0,272,136,298,142,20,3,16,2018,2018-03-16 07:30:00,2018-3-16,1463.0
08:00:00,2018-03-16 08:00:00,278.0,188.0,263,140,317,141,18,3,16,2018,2018-03-16 08:00:00,2018-3-16,1345.0
08:30:00,2018-03-16 08:30:00,322.0,169.0,281,162,321,162,16,3,16,2018,2018-03-16 08:30:00,2018-3-16,1433.0
09:00:00,2018-03-16 09:00:00,273.0,140.0,362,194,359,193,24,3,16,2018,2018-03-16 09:00:00,2018-3-16,1545.0
09:30:00,2018-03-16 09:30:00,255.0,145.0,375,196,410,212,21,3,16,2018,2018-03-16 09:30:00,2018-3-16,1614.0
10:00:00,2018-03-16 10:00:00,237.0,149.0,331,174,348,161,22,3,16,2018,2018-03-16 10:00:00,2018-3-16,1422.0
10:30:00,2018-03-16 10:30:00,269.0,140.0,340,204,399,167,22,3,16,2018,2018-03-16 10:30:00,2018-3-16,1541.0
11:00:00,2018-03-16 11:00:00,230.0,159.0,368,218,409,228,26,3,16,2018,2018-03-16 11:00:00,2018-3-16,1638.0
11:30:00,2018-03-16 11:30:00,243.0,175.0,314,179,363,182,17,3,16,2018,2018-03-16 11:30:00,2018-3-16,1473.0
12:00:00,2018-03-16 12:00:00,219.0,166.0,311,174,343,135,21,3,16,2018,2018-03-16 12:00:00,2018-3-16,1369.0
12:30:00,2018-03-16 12:30:00,273.0,161.0,329,167,364,160,22,3,16,2018,2018-03-16 12:30:00,2018-3-16,1476.0
13:00:00,2018-03-16 13:00:00,300.0,173.0,364,216,392,256,24,3,16,2018,2018-03-16 13:00:00,2018-3-16,1725.0
13:30:00,2018-03-16 13:30:00,258.0,161.0,355,215,430,210,24,3,16,2018,2018-03-16 13:30:00,2018-3-16,1653.0
14:00:00,2018-03-16 14:00:00,212.0,154.0,368,227,457,234,21,3,16,2018,2018-03-16 14:00:00,2018-3-16,1673.0
14:30:00,2018-03-16 14:30:00,235.0,162.0,365,214,400,171,20,3,16,2018,2018-03-16 14:30:00,2018-3-16,1567.0
15:00:00,2018-03-16 15:00:00,229.0,169.0,395,226,485,225,28,3,16,2018,2018-03-16 15:00:00,2018-3-16,1757.0
15:30:00,2018-03-16 15:30:00,217.0,268.0,445,274,520,230,29,3,16,2018,2018-03-16 15:30:00,2018-3-16,1983.0
16:00:00,2018-03-16 16:00:00,219.0,378.0,407,247,495,201,29,3,16,2018,2018-03-16 16:00:00,2018-3-16,1976.0
16:30:00,2018-03-16 16:30:00,214.0,355.0,437,262,493,214,28,3,16,2018,2018-03-16 16:30:00,2018-3-16,2003.0
17:00:00,2018-03-16 17:00:00,191.0,396.0,405,220,446,256,33,3,16,2018,2018-03-16 17:00:00,2018-3-16,1947.0
17:30:00,2018-03-16 17:30:00,139.0,299.0,379,220,480,225,28,3,16,2018,2018-03-16 17:30:00,2018-3-16,1770.0
18:00:00,2018-03-16 18:00:00,109.0,178.0,328,198,381,180,26,3,16,2018,2018-03-16 18:00:00,2018-3-16,1400.0
18:30:00,2018-03-16 18:30:00,117.0,150.0,320,155,353,151,21,3,16,2018,2018-03-16 18:30:00,2018-3-16,1267.0
19:00:00,2018-03-16 19:00:00,113.0,143.0,378,216,425,232,27,3,16,2018,2018-03-16 19:00:00,2018-3-16,1534.0
19:30:00,2018-03-16 19:30:00,74.0,105.0,351,207,407,189,25,3,16,2018,2018-03-16 19:30:00,2018-3-16,1358.0
20:00:00,2018-03-16 20:00:00,59.0,100.0,275,140,292,127,17,3,16,2018,2018-03-16 20:00:00,2018-3-16,1010.0
20:30:00,2018-03-16 20:30:00,83.0,89.0,346,212,408,221,21,3,16,2018,2018-03-16 20:30:00,2018-3-16,1380.0
21:00:00,2018-03-16 21:00:00,73.0,93.0,377,234,483,207,24,3,16,2018,2018-03-16 21:00:00,2018-3-16,1491.0
21:30:00,2018-03-16 21:30:00,76.0,77.0,303,173,354,132,19,3,16,2018,2018-03-16 21:30:00,2018-3-16,1134.0
22:00:00,2018-03-16 22:00:00,38.0,100.0,211,102,217,113,13,3,16,2018,2018-03-16 22:00:00,2018-3-16,794.0
22:30:00,2018-03-16 22:30:00,29.0,108.0,173,100,205,109,11,3,16,2018,2018-03-16 22:30:00,2018-3-16,735.0
23:00:00,2018-03-16 23:00:00,27.0,68.0,172,95,201,101,11,3,16,2018,2018-03-16 23:00:00,2018-3-16,675.0
23:30:00,2018-03-16 23:30:00,14.0,66.0,181,97,221,100,11,3,16,2018,2018-03-16 23:30:00,2018-3-16,690.0
