,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,103,53,116,62,7,103,55,116,62,9,345,341,17.0,686
1,68,36,77,39,7,70,36,77,39,7,229,227,22.0,456
2,34,21,36,19,3,36,21,36,19,5,117,113,10.0,230
3,15,10,19,9,2,17,10,19,10,3,59,55,7.0,114
4,17,10,21,12,3,19,12,21,12,3,67,63,8.0,130
5,29,19,31,15,9,31,19,31,15,10,106,103,8.0,209
6,53,31,56,34,15,53,32,56,36,17,194,189,8.0,383
7,116,79,128,79,36,116,80,130,80,38,444,438,15.0,882
8,208,137,226,133,58,208,137,226,135,58,764,762,22.0,1526
9,301,186,328,203,84,302,186,330,203,84,1105,1102,26.0,2207
10,330,200,354,210,77,330,202,354,210,79,1175,1171,40.0,2346
11,390,263,422,284,103,390,265,424,284,103,1466,1462,46.0,2928
12,241,169,273,171,60,241,169,273,173,62,918,914,44.0,1832
13,256,157,282,149,65,258,159,284,149,67,917,909,106.0,1826
14,325,226,343,188,87,325,226,343,190,87,1171,1169,99.0,2340
15,340,217,340,226,85,340,217,342,226,85,1210,1208,149.0,2418
16,306,185,335,174,63,306,186,337,176,65,1070,1063,138.0,2133
17,379,232,424,203,67,379,234,425,205,68,1311,1305,113.0,2616
18,369,251,427,256,70,369,251,429,256,70,1375,1373,83.0,2748
19,398,243,393,244,68,398,244,395,244,70,1351,1346,92.0,2697
20,338,198,366,227,60,338,198,367,229,62,1194,1189,89.0,2383
21,338,205,393,198,58,338,205,393,200,58,1194,1192,82.0,2386
22,352,219,403,188,51,352,220,405,188,53,1218,1213,104.0,2431
23,354,212,366,174,60,354,214,366,176,60,1170,1166,76.0,2336
24,290,178,321,200,53,290,179,323,202,55,1049,1042,101.0,2091
25,349,226,369,224,58,349,227,369,224,60,1229,1226,111.0,2455
26,374,241,436,190,68,376,241,437,191,68,1313,1309,95.0,2622
27,364,224,391,246,62,364,224,393,246,62,1289,1287,88.0,2576
28,366,219,400,190,58,366,219,400,190,58,1233,1233,121.0,2466
29,390,220,453,203,58,390,222,453,203,60,1328,1324,101.0,2652
30,376,208,407,212,53,376,208,408,212,53,1257,1256,111.0,2513
31,408,232,415,193,48,408,232,415,195,50,1300,1296,126.0,2596
32,400,232,422,186,51,402,234,422,186,51,1295,1291,142.0,2586
33,374,219,446,222,48,374,219,446,224,48,1311,1309,159.0,2620
34,354,190,395,208,39,355,191,395,208,41,1190,1186,185.0,2376
35,323,183,340,183,38,323,185,342,183,39,1072,1067,139.0,2139
36,268,159,296,140,29,270,161,296,140,31,898,892,90.0,1790
37,253,144,267,164,27,253,144,267,166,29,859,855,87.0,1714
38,289,169,284,164,32,289,171,285,166,32,943,938,66.0,1881
39,255,138,285,137,26,256,138,285,138,27,844,841,77.0,1685
40,185,108,200,109,22,185,109,200,111,24,629,624,64.0,1253
41,226,147,241,132,24,226,149,241,132,24,772,770,67.0,1542
42,275,167,304,195,29,277,167,306,196,31,977,970,65.0,1947
43,249,138,292,132,26,251,140,294,133,27,845,837,43.0,1682
44,179,108,183,92,17,179,109,183,92,19,582,579,29.0,1161
45,196,113,215,65,19,198,113,217,67,21,616,608,31.0,1224
46,150,87,171,87,14,152,87,171,87,15,512,509,27.0,1021
47,138,77,142,77,14,140,77,144,79,15,455,448,33.0,903
