time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-01-24 00:00:00,15.0,15.0,75,48,82,42,5,1,24,2018,2018-01-24 00:00:00,2018-1-24,282.0
00:30:00,2018-01-24 00:30:00,8.0,16.0,40,21,45,27,3,1,24,2018,2018-01-24 00:30:00,2018-1-24,160.0
01:00:00,2018-01-24 01:00:00,8.0,8.0,22,11,26,10,1,1,24,2018,2018-01-24 01:00:00,2018-1-24,86.0
01:30:00,2018-01-24 01:30:00,3.0,8.0,15,9,18,7,1,1,24,2018,2018-01-24 01:30:00,2018-1-24,61.0
02:00:00,2018-01-24 02:00:00,11.0,12.0,13,7,14,7,1,1,24,2018,2018-01-24 02:00:00,2018-1-24,65.0
02:30:00,2018-01-24 02:30:00,33.0,6.0,17,10,21,11,1,1,24,2018,2018-01-24 02:30:00,2018-1-24,99.0
03:00:00,2018-01-24 03:00:00,70.0,16.0,30,15,33,15,2,1,24,2018,2018-01-24 03:00:00,2018-1-24,181.0
03:30:00,2018-01-24 03:30:00,151.0,18.0,71,35,72,42,4,1,24,2018,2018-01-24 03:30:00,2018-1-24,393.0
04:00:00,2018-01-24 04:00:00,272.0,28.0,104,57,129,57,7,1,24,2018,2018-01-24 04:00:00,2018-1-24,654.0
04:30:00,2018-01-24 04:30:00,464.0,49.0,167,92,178,91,14,1,24,2018,2018-01-24 04:30:00,2018-1-24,1055.0
05:00:00,2018-01-24 05:00:00,440.0,62.0,201,112,225,113,12,1,24,2018,2018-01-24 05:00:00,2018-1-24,1165.0
05:30:00,2018-01-24 05:30:00,725.0,88.0,285,165,304,116,14,1,24,2018,2018-01-24 05:30:00,2018-1-24,1697.0
06:00:00,2018-01-24 06:00:00,446.0,81.0,216,115,249,101,15,1,24,2018,2018-01-24 06:00:00,2018-1-24,1223.0
06:30:00,2018-01-24 06:30:00,427.0,158.0,154,89,176,84,10,1,24,2018,2018-01-24 06:30:00,2018-1-24,1098.0
07:00:00,2018-01-24 07:00:00,589.0,211.0,223,121,244,116,14,1,24,2018,2018-01-24 07:00:00,2018-1-24,1518.0
07:30:00,2018-01-24 07:30:00,643.0,331.0,231,129,254,142,16,1,24,2018,2018-01-24 07:30:00,2018-1-24,1746.0
08:00:00,2018-01-24 08:00:00,404.0,354.0,264,147,268,153,17,1,24,2018,2018-01-24 08:00:00,2018-1-24,1607.0
08:30:00,2018-01-24 08:30:00,386.0,268.0,284,169,331,171,18,1,24,2018,2018-01-24 08:30:00,2018-1-24,1627.0
09:00:00,2018-01-24 09:00:00,388.0,141.0,360,207,411,178,24,1,24,2018,2018-01-24 09:00:00,2018-1-24,1709.0
09:30:00,2018-01-24 09:30:00,327.0,104.0,324,195,369,196,20,1,24,2018,2018-01-24 09:30:00,2018-1-24,1535.0
10:00:00,2018-01-24 10:00:00,210.0,94.0,299,155,300,145,19,1,24,2018,2018-01-24 10:00:00,2018-1-24,1222.0
10:30:00,2018-01-24 10:30:00,313.0,126.0,274,144,302,149,16,1,24,2018,2018-01-24 10:30:00,2018-1-24,1324.0
11:00:00,2018-01-24 11:00:00,307.0,108.0,279,144,342,146,19,1,24,2018,2018-01-24 11:00:00,2018-1-24,1345.0
11:30:00,2018-01-24 11:30:00,264.0,117.0,270,146,306,152,23,1,24,2018,2018-01-24 11:30:00,2018-1-24,1278.0
12:00:00,2018-01-24 12:00:00,272.0,107.0,269,163,324,148,18,1,24,2018,2018-01-24 12:00:00,2018-1-24,1301.0
12:30:00,2018-01-24 12:30:00,355.0,118.0,290,161,346,121,19,1,24,2018,2018-01-24 12:30:00,2018-1-24,1410.0
13:00:00,2018-01-24 13:00:00,342.0,112.0,321,181,377,199,19,1,24,2018,2018-01-24 13:00:00,2018-1-24,1551.0
13:30:00,2018-01-24 13:30:00,313.0,107.0,354,210,410,199,22,1,24,2018,2018-01-24 13:30:00,2018-1-24,1615.0
14:00:00,2018-01-24 14:00:00,202.0,113.0,347,196,391,193,24,1,24,2018,2018-01-24 14:00:00,2018-1-24,1466.0
