,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,137,73,142,77,10,137,75,142,79,10,443,439,28.0,882
1,75,41,82,39,5,75,43,82,41,5,246,242,32.0,488
2,26,15,26,12,3,27,17,27,14,3,88,82,14.0,170
3,19,12,24,12,3,19,14,26,14,3,76,70,8.0,146
4,24,15,27,15,5,26,15,27,17,7,92,86,8.0,178
5,32,21,39,21,9,34,22,39,21,10,126,122,10.0,248
6,63,46,75,46,24,65,46,77,46,26,260,254,11.0,514
7,138,94,152,89,43,140,96,152,89,44,521,516,18.0,1037
8,212,137,217,121,65,214,138,217,123,67,759,752,30.0,1511
9,277,195,316,195,91,278,196,316,195,91,1076,1074,41.0,2150
10,325,208,352,220,89,326,208,354,222,89,1199,1194,44.0,2393
11,379,248,405,237,108,379,248,405,237,108,1377,1377,76.0,2754
12,263,166,287,150,68,263,167,287,152,68,937,934,83.0,1871
13,239,149,253,159,70,239,150,253,161,70,873,870,129.0,1743
14,306,219,330,214,99,308,220,331,214,99,1172,1168,164.0,2340
15,345,215,366,210,94,345,217,366,210,94,1232,1230,223.0,2462
16,325,212,335,171,75,326,212,337,171,75,1121,1118,190.0,2239
17,340,239,349,212,80,342,241,349,212,80,1224,1220,190.0,2444
18,396,263,484,215,79,398,263,484,215,80,1440,1437,201.0,2877
19,444,265,492,234,80,444,267,494,234,82,1521,1515,111.0,3036
20,374,224,374,207,60,374,226,374,207,60,1241,1239,97.0,2480
21,364,215,396,222,58,366,217,398,222,60,1263,1255,103.0,2518
22,383,219,393,214,58,384,219,393,214,60,1270,1267,120.0,2537
23,352,224,396,236,67,354,224,398,237,68,1281,1275,153.0,2556
24,333,190,367,198,60,335,190,367,200,62,1154,1148,120.0,2302
25,347,205,374,208,72,347,205,374,210,73,1209,1206,151.0,2415
26,417,229,436,258,82,419,229,436,258,82,1424,1422,138.0,2846
27,429,278,492,260,82,431,278,492,261,82,1544,1541,128.0,3085
28,398,234,443,207,60,398,234,444,207,62,1345,1342,137.0,2687
29,419,261,461,253,67,419,263,463,253,67,1465,1461,133.0,2926
30,463,272,531,260,68,463,272,533,261,68,1597,1594,141.0,3191
31,466,278,545,270,75,466,280,547,270,77,1640,1634,179.0,3274
32,454,277,507,261,77,454,278,509,261,77,1579,1576,225.0,3155
33,449,256,468,244,65,449,258,468,246,67,1488,1482,323.0,2970
34,478,304,516,258,63,480,306,518,260,63,1627,1619,306.0,3246
35,449,265,511,268,58,449,267,513,268,58,1555,1551,289.0,3106
36,361,202,374,167,43,362,202,374,169,43,1150,1147,152.0,2297
37,304,176,342,174,39,306,176,342,174,39,1037,1035,140.0,2072
38,345,208,408,198,36,345,210,410,200,36,1201,1195,116.0,2396
39,309,190,364,140,32,309,190,364,140,32,1035,1035,82.0,2070
40,241,135,251,155,26,243,137,251,155,27,813,808,64.0,1621
41,304,171,355,140,34,304,173,355,142,36,1010,1004,70.0,2014
42,383,220,448,174,32,383,220,449,176,34,1262,1257,69.0,2519
43,350,186,383,149,38,350,186,384,149,38,1107,1106,47.0,2213
44,253,132,277,152,26,253,133,278,154,27,845,840,61.0,1685
45,217,121,227,121,22,219,123,229,123,22,716,708,47.0,1424
46,191,101,226,106,21,193,101,226,106,21,647,645,41.0,1292
47,137,84,145,92,12,138,85,147,92,14,476,470,25.0,946
