,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,92,55,101,53,7,92,55,101,55,9,312,308,36.0,620
1,65,41,72,38,7,67,43,73,38,7,228,223,29.0,451
2,39,22,43,22,3,39,24,44,22,3,132,129,18.0,261
3,15,10,17,9,2,15,12,17,9,2,55,53,17.0,108
4,12,10,14,7,2,14,12,14,7,3,50,45,24.0,95
5,22,15,26,14,7,24,15,27,14,7,87,84,20.0,171
6,43,27,50,26,14,44,29,51,27,15,166,160,40.0,326
7,97,65,113,65,26,97,67,113,67,27,371,366,40.0,737
8,145,92,150,109,39,145,94,150,111,39,539,535,59.0,1074
9,196,135,232,142,56,196,137,234,144,58,769,761,95.0,1530
10,210,142,243,135,50,212,142,243,137,51,785,780,92.0,1565
11,268,164,282,157,60,268,166,284,159,60,937,931,89.0,1868
12,166,103,183,111,31,167,103,185,111,32,598,594,69.0,1192
13,161,101,171,89,27,162,103,173,89,27,554,549,76.0,1103
14,193,120,224,133,38,195,120,226,133,38,712,708,92.0,1420
15,227,138,251,149,41,229,138,253,149,41,810,806,99.0,1616
16,246,133,270,118,34,246,133,270,118,36,803,801,96.0,1604
17,273,154,282,164,43,275,155,284,166,43,923,916,122.0,1839
18,314,171,326,162,44,314,171,326,164,44,1019,1017,108.0,2036
19,278,173,331,188,46,280,173,331,190,46,1020,1016,124.0,2036
20,239,138,277,137,34,239,140,277,137,34,827,825,97.0,1652
21,289,174,316,130,38,290,174,318,130,39,951,947,146.0,1898
22,304,152,304,183,31,306,154,304,185,31,980,974,106.0,1954
23,282,174,304,188,41,284,176,304,190,41,995,989,112.0,1984
24,253,155,275,181,39,253,157,275,183,41,909,903,114.0,1812
25,318,183,335,215,55,319,185,335,217,56,1112,1106,125.0,2218
26,379,219,393,157,56,381,219,393,157,56,1206,1204,129.0,2410
27,355,226,395,200,58,357,227,395,200,60,1239,1234,120.0,2473
28,335,191,325,174,41,335,191,326,174,41,1067,1066,109.0,2133
29,323,196,323,173,43,323,196,325,173,43,1060,1058,117.0,2118
30,337,186,372,159,36,337,188,374,159,38,1096,1090,104.0,2186
31,321,190,359,176,36,323,190,361,176,36,1086,1082,102.0,2168
32,299,183,309,147,29,301,185,311,149,29,975,967,92.0,1942
33,273,161,309,167,31,273,161,311,167,32,944,941,114.0,1885
34,290,196,328,178,29,290,198,328,179,31,1026,1021,100.0,2047
35,282,171,354,186,27,282,173,354,186,27,1022,1020,102.0,2042
36,229,132,249,142,22,231,132,251,142,22,778,774,72.0,1552
37,248,132,284,133,27,249,132,284,133,27,825,824,82.0,1649
38,296,167,330,132,26,296,167,331,132,27,953,951,65.0,1904
39,261,132,261,116,19,263,133,263,116,21,796,789,63.0,1585
40,169,94,171,87,17,169,94,171,87,17,538,538,45.0,1076
41,161,84,155,89,15,161,84,157,91,15,508,504,43.0,1012
42,169,106,181,97,17,171,108,181,99,17,576,570,47.0,1146
43,171,99,186,96,17,171,99,186,97,17,570,569,48.0,1139
44,113,63,137,53,12,113,65,138,53,12,381,378,57.0,759
45,97,50,106,63,9,97,51,106,65,10,329,325,32.0,654
46,77,46,96,39,7,79,46,96,41,9,271,265,29.0,536
47,82,44,85,43,7,84,44,85,43,7,263,261,20.0,524
