,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,116,63,126,62,7,116,63,128,63,9,379,374,23.0,753
1,73,39,70,39,5,73,41,72,39,7,232,226,13.0,458
2,39,24,50,24,3,41,26,51,26,3,147,140,18.0,287
3,44,22,44,24,5,44,22,44,24,5,139,139,18.0,278
4,27,15,27,15,3,27,15,29,17,5,93,87,19.0,180
5,27,17,29,15,9,27,17,31,17,9,101,97,15.0,198
6,48,38,56,36,17,48,39,56,36,19,198,195,22.0,393
7,120,80,125,80,46,121,80,125,80,46,452,451,24.0,903
8,198,140,208,125,67,200,142,210,126,67,745,738,22.0,1483
9,282,198,299,178,99,284,198,301,179,99,1061,1056,34.0,2117
10,343,231,349,246,108,343,231,350,246,109,1279,1277,41.0,2556
11,499,364,566,304,176,501,364,566,304,176,1911,1909,82.0,3820
12,398,260,413,261,125,400,260,413,261,125,1459,1457,99.0,2916
13,297,193,319,205,99,297,195,321,205,99,1117,1113,195.0,2230
14,384,275,402,277,137,386,277,403,278,138,1482,1475,256.0,2957
15,429,280,470,244,126,431,282,470,244,126,1553,1549,387.0,3102
16,352,237,424,236,91,354,237,425,236,92,1344,1340,289.0,2684
17,415,265,431,239,99,415,265,431,239,101,1451,1449,231.0,2900
18,449,289,525,267,101,451,289,525,267,101,1633,1631,130.0,3264
19,415,249,453,246,82,417,251,453,248,84,1453,1445,97.0,2898
20,352,226,412,210,67,352,226,412,210,68,1268,1267,102.0,2535
21,402,234,437,198,75,402,234,437,198,77,1348,1346,102.0,2694
22,403,248,446,220,79,405,249,448,220,79,1401,1396,107.0,2797
23,354,220,400,260,73,355,220,400,261,75,1311,1307,109.0,2618
24,330,219,407,207,72,331,220,407,208,73,1239,1235,106.0,2474
25,395,275,434,260,99,396,277,434,260,99,1466,1463,130.0,2929
26,470,318,504,267,106,472,318,504,267,108,1669,1665,118.0,3334
27,448,272,485,278,89,448,272,485,278,89,1572,1572,99.0,3144
28,400,246,477,236,75,400,248,477,237,77,1439,1434,109.0,2873
29,405,260,460,222,72,405,260,461,224,73,1423,1419,111.0,2842
30,420,261,470,239,73,422,261,472,239,73,1467,1463,111.0,2930
31,405,249,454,318,58,407,249,454,319,60,1489,1484,193.0,2973
32,446,263,470,219,60,448,263,470,220,60,1461,1458,266.0,2919
33,437,249,441,231,60,437,249,443,232,60,1421,1418,365.0,2839
34,451,251,454,308,56,451,251,456,308,58,1524,1520,444.0,3044
35,393,253,448,210,48,395,255,449,210,48,1357,1352,381.0,2709
36,330,196,391,188,41,331,198,391,190,43,1153,1146,234.0,2299
37,340,188,359,166,36,342,188,361,166,38,1095,1089,135.0,2184
38,359,219,407,200,48,359,220,408,202,48,1237,1233,86.0,2470
39,287,154,321,188,36,287,155,323,190,36,991,986,73.0,1977
40,243,147,287,120,31,243,147,287,120,31,828,828,59.0,1656
41,267,140,268,150,29,268,142,268,150,29,857,854,57.0,1711
42,333,202,355,226,34,335,203,355,227,34,1154,1150,62.0,2304
43,265,164,325,161,29,267,166,326,162,31,952,944,38.0,1896
44,234,126,256,116,17,234,128,258,116,17,753,749,58.0,1502
45,203,123,217,101,19,203,123,219,103,19,667,663,47.0,1330
46,166,89,215,120,14,166,89,215,120,14,604,604,46.0,1208
47,149,91,169,85,12,149,91,169,85,12,506,506,30.0,1012
