,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,118,70,128,70,10,120,70,128,72,10,400,396,16.0,796
1,63,39,73,34,5,63,41,73,34,7,218,214,12.0,432
2,39,24,46,26,5,41,26,48,26,5,146,140,8.0,286
3,24,14,27,12,3,24,14,27,14,3,82,80,10.0,162
4,15,12,17,10,2,17,14,19,10,3,63,56,3.0,119
5,26,19,29,19,12,27,19,29,19,12,106,105,10.0,211
6,55,38,62,36,21,55,38,63,38,21,215,212,11.0,427
7,114,80,121,79,44,114,82,121,79,44,440,438,19.0,878
8,178,126,188,111,63,178,128,188,113,63,670,666,19.0,1336
9,256,179,277,174,94,258,181,277,174,96,986,980,28.0,1966
10,337,244,388,237,108,338,244,388,237,109,1316,1314,40.0,2630
11,443,302,484,253,135,443,302,484,253,137,1619,1617,55.0,3236
12,297,195,343,203,89,299,195,343,203,89,1129,1127,60.0,2256
13,268,181,268,183,84,268,181,268,183,84,984,984,159.0,1968
14,337,227,372,220,106,337,229,372,222,106,1266,1262,145.0,2528
15,367,246,408,256,109,369,246,408,258,111,1392,1386,250.0,2778
16,345,243,391,217,85,347,243,393,217,87,1287,1281,199.0,2568
17,400,272,443,246,108,400,273,444,246,108,1471,1469,139.0,2940
18,461,278,514,272,96,461,278,516,272,97,1624,1621,113.0,3245
19,402,251,468,239,85,402,253,468,241,87,1451,1445,92.0,2896
20,361,226,352,203,77,361,226,354,205,77,1223,1219,99.0,2442
21,388,248,432,251,84,388,249,432,251,84,1404,1403,97.0,2807
22,437,273,453,217,87,437,273,453,217,87,1467,1467,103.0,2934
23,378,251,470,232,82,379,253,470,234,84,1420,1413,103.0,2833
24,337,227,403,220,75,338,227,405,222,75,1267,1262,106.0,2529
25,415,261,443,263,96,417,261,443,265,96,1482,1478,110.0,2960
26,494,345,521,340,116,494,347,521,342,116,1820,1816,90.0,3636
27,489,309,530,304,111,490,311,530,306,113,1750,1743,107.0,3493
28,434,253,466,249,82,434,253,466,249,82,1484,1484,103.0,2968
29,420,265,461,234,85,420,265,463,236,87,1471,1465,148.0,2936
30,487,290,519,316,101,489,292,521,318,101,1721,1713,203.0,3434
31,504,299,584,313,96,504,301,586,314,97,1802,1796,208.0,3598
32,511,318,588,280,101,513,319,589,282,101,1804,1798,191.0,3602
33,528,323,636,364,109,530,323,637,366,111,1967,1960,195.0,3927
34,516,321,637,343,96,516,323,639,345,97,1920,1913,212.0,3833
35,487,258,516,287,73,487,260,516,289,73,1625,1621,156.0,3246
36,371,219,403,249,56,372,220,405,251,56,1304,1298,81.0,2602
37,369,220,402,220,62,371,222,403,222,63,1281,1273,146.0,2554
38,443,241,482,214,62,443,243,484,215,62,1447,1442,127.0,2889
39,383,205,367,190,46,384,205,367,190,46,1192,1191,40.0,2383
40,253,161,299,161,34,255,162,301,161,34,913,908,68.0,1821
41,314,185,378,178,36,316,185,379,179,36,1095,1091,58.0,2186
42,379,226,432,178,44,379,226,434,179,44,1262,1259,44.0,2521
43,302,178,301,142,29,304,179,301,142,31,957,952,33.0,1909
44,190,118,229,109,22,190,120,229,111,22,672,668,43.0,1340
45,200,123,232,138,21,202,125,234,140,22,723,714,58.0,1437
46,174,104,178,92,14,176,106,178,94,15,569,562,51.0,1131
47,150,89,178,94,12,152,91,178,94,14,529,523,29.0,1052
