time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-03-19 00:00:00,9.0,31.0,153,85,172,70,10,3,19,2018,2018-03-19 00:00:00,2018-3-19,530.0
00:30:00,2018-03-19 00:30:00,10.0,24.0,96,49,104,42,8,3,19,2018,2018-03-19 00:30:00,2018-3-19,333.0
01:00:00,2018-03-19 01:00:00,11.0,14.0,36,18,38,19,2,3,19,2018,2018-03-19 01:00:00,2018-3-19,138.0
01:30:00,2018-03-19 01:30:00,6.0,11.0,18,10,20,9,1,3,19,2018,2018-03-19 01:30:00,2018-3-19,75.0
02:00:00,2018-03-19 02:00:00,11.0,14.0,23,12,24,13,2,3,19,2018,2018-03-19 02:00:00,2018-3-19,99.0
02:30:00,2018-03-19 02:30:00,28.0,10.0,19,11,22,11,1,3,19,2018,2018-03-19 02:30:00,2018-3-19,102.0
03:00:00,2018-03-19 03:00:00,82.0,9.0,34,20,36,19,2,3,19,2018,2018-03-19 03:00:00,2018-3-19,202.0
03:30:00,2018-03-19 03:30:00,222.0,21.0,80,44,87,49,6,3,19,2018,2018-03-19 03:30:00,2018-3-19,509.0
04:00:00,2018-03-19 04:00:00,328.0,25.0,162,95,170,72,12,3,19,2018,2018-03-19 04:00:00,2018-3-19,864.0
04:30:00,2018-03-19 04:30:00,606.0,55.0,256,153,284,133,18,3,19,2018,2018-03-19 04:30:00,2018-3-19,1505.0
05:00:00,2018-03-19 05:00:00,723.0,53.0,341,196,328,194,21,3,19,2018,2018-03-19 05:00:00,2018-3-19,1856.0
05:30:00,2018-03-19 05:30:00,1053.0,60.0,544,284,595,225,31,3,19,2018,2018-03-19 05:30:00,2018-3-19,2792.0
06:00:00,2018-03-19 06:00:00,600.0,90.0,347,190,376,194,24,3,19,2018,2018-03-19 06:00:00,2018-3-19,1821.0
06:30:00,2018-03-19 06:30:00,550.0,157.0,235,129,247,143,16,3,19,2018,2018-03-19 06:30:00,2018-3-19,1477.0
07:00:00,2018-03-19 07:00:00,757.0,210.0,275,156,319,156,20,3,19,2018,2018-03-19 07:00:00,2018-3-19,1893.0
07:30:00,2018-03-19 07:30:00,717.0,326.0,339,214,371,140,26,3,19,2018,2018-03-19 07:30:00,2018-3-19,2133.0
08:00:00,2018-03-19 08:00:00,525.0,276.0,338,186,365,173,24,3,19,2018,2018-03-19 08:00:00,2018-3-19,1887.0
08:30:00,2018-03-19 08:30:00,606.0,225.0,381,185,414,185,19,3,19,2018,2018-03-19 08:30:00,2018-3-19,2015.0
09:00:00,2018-03-19 09:00:00,651.0,149.0,397,231,466,249,26,3,19,2018,2018-03-19 09:00:00,2018-3-19,2169.0
09:30:00,2018-03-19 09:30:00,555.0,105.0,434,254,504,261,34,3,19,2018,2018-03-19 09:30:00,2018-3-19,2147.0
10:00:00,2018-03-19 10:00:00,445.0,87.0,394,204,475,231,27,3,19,2018,2018-03-19 10:00:00,2018-3-19,1863.0
10:30:00,2018-03-19 10:30:00,552.0,114.0,382,214,445,213,22,3,19,2018,2018-03-19 10:30:00,2018-3-19,1942.0
11:00:00,2018-03-19 11:00:00,444.0,95.0,377,205,431,214,27,3,19,2018,2018-03-19 11:00:00,2018-3-19,1793.0
11:30:00,2018-03-19 11:30:00,388.0,106.0,422,210,414,210,27,3,19,2018,2018-03-19 11:30:00,2018-3-19,1777.0
12:00:00,2018-03-19 12:00:00,362.0,96.0,342,202,391,199,29,3,19,2018,2018-03-19 12:00:00,2018-3-19,1621.0
12:30:00,2018-03-19 12:30:00,514.0,115.0,342,188,352,208,23,3,19,2018,2018-03-19 12:30:00,2018-3-19,1742.0
13:00:00,2018-03-19 13:00:00,532.0,109.0,388,231,440,231,27,3,19,2018,2018-03-19 13:00:00,2018-3-19,1958.0
13:30:00,2018-03-19 13:30:00,437.0,97.0,393,232,448,207,30,3,19,2018,2018-03-19 13:30:00,2018-3-19,1844.0
14:00:00,2018-03-19 14:00:00,267.0,98.0,369,193,387,177,25,3,19,2018,2018-03-19 14:00:00,2018-3-19,1516.0
14:30:00,2018-03-19 14:30:00,343.0,118.0,350,203,411,193,25,3,19,2018,2018-03-19 14:30:00,2018-3-19,1643.0
15:00:00,2018-03-19 15:00:00,322.0,142.0,347,202,408,167,26,3,19,2018,2018-03-19 15:00:00,2018-3-19,1614.0
15:30:00,2018-03-19 15:30:00,271.0,190.0,387,231,444,202,26,3,19,2018,2018-03-19 15:30:00,2018-3-19,1751.0
16:00:00,2018-03-19 16:00:00,252.0,177.0,399,225,422,207,21,3,19,2018,2018-03-19 16:00:00,2018-3-19,1703.0
16:30:00,2018-03-19 16:30:00,249.0,274.0,427,232,474,198,28,3,19,2018,2018-03-19 16:30:00,2018-3-19,1882.0
17:00:00,2018-03-19 17:00:00,230.0,333.0,435,221,458,265,29,3,19,2018,2018-03-19 17:00:00,2018-3-19,1971.0
17:30:00,2018-03-19 17:30:00,170.0,316.0,430,221,434,253,28,3,19,2018,2018-03-19 17:30:00,2018-3-19,1852.0
18:00:00,2018-03-19 18:00:00,96.0,201.0,350,191,398,209,27,3,19,2018,2018-03-19 18:00:00,2018-3-19,1472.0
18:30:00,2018-03-19 18:30:00,114.0,111.0,324,184,362,201,23,3,19,2018,2018-03-19 18:30:00,2018-3-19,1319.0
19:00:00,2018-03-19 19:00:00,116.0,91.0,345,219,402,216,23,3,19,2018,2018-03-19 19:00:00,2018-3-19,1412.0
19:30:00,2018-03-19 19:30:00,108.0,80.0,380,221,449,190,23,3,19,2018,2018-03-19 19:30:00,2018-3-19,1451.0
