time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2017-12-28 00:00:00,13.0,17.0,118,61,134,67,7,12,28,2017,2017-12-28 00:00:00,2017-12-28,417.0
00:30:00,2017-12-28 00:30:00,7.0,22.0,80,41,89,45,5,12,28,2017,2017-12-28 00:30:00,2017-12-28,289.0
01:00:00,2017-12-28 01:00:00,11.0,10.0,39,22,40,20,2,12,28,2017,2017-12-28 01:00:00,2017-12-28,144.0
01:30:00,2017-12-28 01:30:00,10.0,7.0,17,10,20,9,1,12,28,2017,2017-12-28 01:30:00,2017-12-28,74.0
02:00:00,2017-12-28 02:00:00,16.0,8.0,18,10,20,11,1,12,28,2017,2017-12-28 02:00:00,2017-12-28,84.0
02:30:00,2017-12-28 02:30:00,47.0,8.0,24,13,27,9,2,12,28,2017,2017-12-28 02:30:00,2017-12-28,130.0
03:00:00,2017-12-28 03:00:00,84.0,8.0,46,21,50,21,3,12,28,2017,2017-12-28 03:00:00,2017-12-28,233.0
03:30:00,2017-12-28 03:30:00,187.0,15.0,99,54,114,56,6,12,28,2017,2017-12-28 03:30:00,2017-12-28,531.0
04:00:00,2017-12-28 04:00:00,275.0,22.0,189,105,209,102,13,12,28,2017,2017-12-28 04:00:00,2017-12-28,915.0
04:30:00,2017-12-28 04:30:00,383.0,26.0,277,142,309,162,19,12,28,2017,2017-12-28 04:30:00,2017-12-28,1318.0
05:00:00,2017-12-28 05:00:00,343.0,40.0,318,167,346,175,23,12,28,2017,2017-12-28 05:00:00,2017-12-28,1412.0
05:30:00,2017-12-28 05:30:00,467.0,46.0,363,216,402,239,25,12,28,2017,2017-12-28 05:30:00,2017-12-28,1758.0
06:00:00,2017-12-28 06:00:00,280.0,44.0,226,142,264,145,15,12,28,2017,2017-12-28 06:00:00,2017-12-28,1116.0
06:30:00,2017-12-28 06:30:00,321.0,106.0,237,121,267,109,13,12,28,2017,2017-12-28 06:30:00,2017-12-28,1174.0
07:00:00,2017-12-28 07:00:00,419.0,99.0,297,181,319,138,15,12,28,2017,2017-12-28 07:00:00,2017-12-28,1468.0
07:30:00,2017-12-28 07:30:00,396.0,149.0,318,175,320,185,21,12,28,2017,2017-12-28 07:30:00,2017-12-28,1564.0
08:00:00,2017-12-28 08:00:00,277.0,138.0,303,162,336,150,20,12,28,2017,2017-12-28 08:00:00,2017-12-28,1386.0
08:30:00,2017-12-28 08:30:00,288.0,113.0,384,216,440,182,22,12,28,2017,2017-12-28 08:30:00,2017-12-28,1645.0
09:00:00,2017-12-28 09:00:00,239.0,83.0,385,247,454,253,31,12,28,2017,2017-12-28 09:00:00,2017-12-28,1692.0
09:30:00,2017-12-28 09:30:00,247.0,92.0,417,236,412,235,32,12,28,2017,2017-12-28 09:30:00,2017-12-28,1671.0
10:00:00,2017-12-28 10:00:00,209.0,89.0,355,191,388,226,26,12,28,2017,2017-12-28 10:00:00,2017-12-28,1484.0
10:30:00,2017-12-28 10:30:00,227.0,82.0,351,193,415,188,23,12,28,2017,2017-12-28 10:30:00,2017-12-28,1479.0
11:00:00,2017-12-28 11:00:00,186.0,104.0,375,220,435,183,24,12,28,2017,2017-12-28 11:00:00,2017-12-28,1527.0
11:30:00,2017-12-28 11:30:00,231.0,76.0,368,203,381,159,24,12,28,2017,2017-12-28 11:30:00,2017-12-28,1442.0
12:00:00,2017-12-28 12:00:00,201.0,101.0,300,169,337,195,22,12,28,2017,2017-12-28 12:00:00,2017-12-28,1325.0
12:30:00,2017-12-28 12:30:00,249.0,111.0,359,212,383,213,20,12,28,2017,2017-12-28 12:30:00,2017-12-28,1547.0
13:00:00,2017-12-28 13:00:00,283.0,95.0,383,223,455,167,24,12,28,2017,2017-12-28 13:00:00,2017-12-28,1630.0
13:30:00,2017-12-28 13:30:00,242.0,88.0,378,214,409,240,24,12,28,2017,2017-12-28 13:30:00,2017-12-28,1595.0
14:00:00,2017-12-28 14:00:00,183.0,121.0,392,220,432,186,29,12,28,2017,2017-12-28 14:00:00,2017-12-28,1563.0
14:30:00,2017-12-28 14:30:00,222.0,101.0,412,215,484,194,25,12,28,2017,2017-12-28 14:30:00,2017-12-28,1653.0
15:00:00,2017-12-28 15:00:00,172.0,111.0,406,210,443,214,26,12,28,2017,2017-12-28 15:00:00,2017-12-28,1582.0
15:30:00,2017-12-28 15:30:00,167.0,126.0,445,239,453,192,24,12,28,2017,2017-12-28 15:30:00,2017-12-28,1646.0
16:00:00,2017-12-28 16:00:00,159.0,142.0,434,242,463,187,29,12,28,2017,2017-12-28 16:00:00,2017-12-28,1656.0
16:30:00,2017-12-28 16:30:00,139.0,159.0,411,229,495,230,29,12,28,2017,2017-12-28 16:30:00,2017-12-28,1692.0
17:00:00,2017-12-28 17:00:00,113.0,185.0,393,201,440,222,22,12,28,2017,2017-12-28 17:00:00,2017-12-28,1576.0
17:30:00,2017-12-28 17:30:00,79.0,139.0,363,200,384,199,26,12,28,2017,2017-12-28 17:30:00,2017-12-28,1390.0
18:00:00,2017-12-28 18:00:00,48.0,90.0,306,175,337,155,26,12,28,2017,2017-12-28 18:00:00,2017-12-28,1137.0
18:30:00,2017-12-28 18:30:00,68.0,87.0,283,155,299,180,17,12,28,2017,2017-12-28 18:30:00,2017-12-28,1089.0
19:00:00,2017-12-28 19:00:00,59.0,66.0,327,188,322,182,23,12,28,2017,2017-12-28 19:00:00,2017-12-28,1167.0
19:30:00,2017-12-28 19:30:00,53.0,77.0,286,152,324,151,21,12,28,2017,2017-12-28 19:30:00,2017-12-28,1064.0
20:00:00,2017-12-28 20:00:00,66.0,64.0,203,114,221,116,13,12,28,2017,2017-12-28 20:00:00,2017-12-28,797.0
20:30:00,2017-12-28 20:30:00,71.0,67.0,250,158,268,140,14,12,28,2017,2017-12-28 20:30:00,2017-12-28,968.0
21:00:00,2017-12-28 21:00:00,64.0,65.0,311,180,345,217,23,12,28,2017,2017-12-28 21:00:00,2017-12-28,1205.0
21:30:00,2017-12-28 21:30:00,73.0,43.0,276,149,329,141,17,12,28,2017,2017-12-28 21:30:00,2017-12-28,1028.0
22:00:00,2017-12-28 22:00:00,35.0,29.0,203,120,207,101,14,12,28,2017,2017-12-28 22:00:00,2017-12-28,709.0
22:30:00,2017-12-28 22:30:00,48.0,31.0,222,120,244,68,14,12,28,2017,2017-12-28 22:30:00,2017-12-28,747.0
23:00:00,2017-12-28 23:00:00,29.0,27.0,172,93,195,97,12,12,28,2017,2017-12-28 23:00:00,2017-12-28,625.0
23:30:00,2017-12-28 23:30:00,25.0,33.0,158,85,162,86,12,12,28,2017,2017-12-28 23:30:00,2017-12-28,561.0
