time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-04-07 00:00:00,4.0,50.0,204,114,231,107,10,4,7,2018,2018-04-07 00:00:00,2018-4-7,720.0
00:30:00,2018-04-07 00:30:00,6.0,31.0,112,65,118,56,7,4,7,2018,2018-04-07 00:30:00,2018-4-7,395.0
01:00:00,2018-04-07 01:00:00,12.0,28.0,48,24,55,24,3,4,7,2018,2018-04-07 01:00:00,2018-4-7,194.0
01:30:00,2018-04-07 01:30:00,15.0,21.0,39,18,40,20,2,4,7,2018,2018-04-07 01:30:00,2018-4-7,155.0
02:00:00,2018-04-07 02:00:00,9.0,17.0,25,13,29,12,2,4,7,2018,2018-04-07 02:00:00,2018-4-7,107.0
02:30:00,2018-04-07 02:30:00,48.0,11.0,24,14,28,12,1,4,7,2018,2018-04-07 02:30:00,2018-4-7,138.0
03:00:00,2018-04-07 03:00:00,90.0,15.0,34,17,35,20,2,4,7,2018,2018-04-07 03:00:00,2018-4-7,213.0
03:30:00,2018-04-07 03:30:00,179.0,23.0,87,45,86,44,6,4,7,2018,2018-04-07 03:30:00,2018-4-7,470.0
04:00:00,2018-04-07 04:00:00,261.0,26.0,127,70,144,62,9,4,7,2018,2018-04-07 04:00:00,2018-4-7,699.0
04:30:00,2018-04-07 04:30:00,334.0,31.0,182,104,206,105,12,4,7,2018,2018-04-07 04:30:00,2018-4-7,974.0
05:00:00,2018-04-07 05:00:00,343.0,23.0,232,134,269,106,16,4,7,2018,2018-04-07 05:00:00,2018-4-7,1123.0
05:30:00,2018-04-07 05:30:00,424.0,51.0,248,142,287,142,17,4,7,2018,2018-04-07 05:30:00,2018-4-7,1311.0
06:00:00,2018-04-07 06:00:00,213.0,45.0,186,108,208,106,11,4,7,2018,2018-04-07 06:00:00,2018-4-7,877.0
06:30:00,2018-04-07 06:30:00,182.0,46.0,173,86,188,100,14,4,7,2018,2018-04-07 06:30:00,2018-4-7,789.0
07:00:00,2018-04-07 07:00:00,273.0,55.0,213,124,233,118,15,4,7,2018,2018-04-07 07:00:00,2018-4-7,1031.0
07:30:00,2018-04-07 07:30:00,282.0,65.0,250,116,256,111,16,4,7,2018,2018-04-07 07:30:00,2018-4-7,1096.0
08:00:00,2018-04-07 08:00:00,193.0,76.0,211,120,230,114,13,4,7,2018,2018-04-07 08:00:00,2018-4-7,957.0
08:30:00,2018-04-07 08:30:00,234.0,66.0,269,151,281,155,17,4,7,2018,2018-04-07 08:30:00,2018-4-7,1173.0
09:00:00,2018-04-07 09:00:00,193.0,62.0,257,177,317,166,16,4,7,2018,2018-04-07 09:00:00,2018-4-7,1188.0
09:30:00,2018-04-07 09:30:00,154.0,68.0,262,148,297,143,19,4,7,2018,2018-04-07 09:30:00,2018-4-7,1091.0
10:00:00,2018-04-07 10:00:00,111.0,84.0,222,118,253,144,12,4,7,2018,2018-04-07 10:00:00,2018-4-7,944.0
10:30:00,2018-04-07 10:30:00,117.0,83.0,217,136,237,120,13,4,7,2018,2018-04-07 10:30:00,2018-4-7,923.0
11:00:00,2018-04-07 11:00:00,131.0,95.0,215,122,246,132,16,4,7,2018,2018-04-07 11:00:00,2018-4-7,957.0
11:30:00,2018-04-07 11:30:00,168.0,93.0,188,105,242,115,16,4,7,2018,2018-04-07 11:30:00,2018-4-7,927.0
12:00:00,2018-04-07 12:00:00,144.0,95.0,204,124,241,95,16,4,7,2018,2018-04-07 12:00:00,2018-4-7,919.0
12:30:00,2018-04-07 12:30:00,206.0,93.0,242,140,280,116,15,4,7,2018,2018-04-07 12:30:00,2018-4-7,1092.0
13:00:00,2018-04-07 13:00:00,206.0,84.0,275,151,317,130,18,4,7,2018,2018-04-07 13:00:00,2018-4-7,1181.0
13:30:00,2018-04-07 13:30:00,201.0,104.0,275,160,305,142,19,4,7,2018,2018-04-07 13:30:00,2018-4-7,1206.0
14:00:00,2018-04-07 14:00:00,144.0,87.0,246,134,271,149,18,4,7,2018,2018-04-07 14:00:00,2018-4-7,1049.0
14:30:00,2018-04-07 14:30:00,139.0,98.0,238,120,249,118,16,4,7,2018,2018-04-07 14:30:00,2018-4-7,978.0
15:00:00,2018-04-07 15:00:00,117.0,102.0,231,136,279,124,14,4,7,2018,2018-04-07 15:00:00,2018-4-7,1003.0
15:30:00,2018-04-07 15:30:00,111.0,101.0,253,147,273,155,18,4,7,2018,2018-04-07 15:30:00,2018-4-7,1058.0
16:00:00,2018-04-07 16:00:00,74.0,95.0,220,136,250,137,12,4,7,2018,2018-04-07 16:00:00,2018-4-7,924.0
16:30:00,2018-04-07 16:30:00,66.0,92.0,234,127,286,143,16,4,7,2018,2018-04-07 16:30:00,2018-4-7,964.0
17:00:00,2018-04-07 17:00:00,64.0,119.0,241,140,264,116,16,4,7,2018,2018-04-07 17:00:00,2018-4-7,960.0
17:30:00,2018-04-07 17:30:00,67.0,115.0,217,130,242,112,13,4,7,2018,2018-04-07 17:30:00,2018-4-7,896.0
18:00:00,2018-04-07 18:00:00,49.0,93.0,172,95,189,111,11,4,7,2018,2018-04-07 18:00:00,2018-4-7,720.0
18:30:00,2018-04-07 18:30:00,54.0,79.0,154,91,188,64,10,4,7,2018,2018-04-07 18:30:00,2018-4-7,640.0
19:00:00,2018-04-07 19:00:00,42.0,67.0,201,116,248,98,13,4,7,2018,2018-04-07 19:00:00,2018-4-7,785.0
19:30:00,2018-04-07 19:30:00,43.0,56.0,167,107,197,75,13,4,7,2018,2018-04-07 19:30:00,2018-4-7,658.0
20:00:00,2018-04-07 20:00:00,39.0,56.0,134,68,135,67,9,4,7,2018,2018-04-07 20:00:00,2018-4-7,508.0
20:30:00,2018-04-07 20:30:00,39.0,54.0,159,94,175,94,13,4,7,2018,2018-04-07 20:30:00,2018-4-7,628.0
21:00:00,2018-04-07 21:00:00,38.0,57.0,165,87,193,96,12,4,7,2018,2018-04-07 21:00:00,2018-4-7,648.0
21:30:00,2018-04-07 21:30:00,47.0,49.0,136,84,152,71,10,4,7,2018,2018-04-07 21:30:00,2018-4-7,549.0
22:00:00,2018-04-07 22:00:00,36.0,51.0,119,68,130,66,7,4,7,2018,2018-04-07 22:00:00,2018-4-7,477.0
22:30:00,2018-04-07 22:30:00,31.0,35.0,111,67,143,45,7,4,7,2018,2018-04-07 22:30:00,2018-4-7,439.0
23:00:00,2018-04-07 23:00:00,24.0,31.0,106,70,120,66,7,4,7,2018,2018-04-07 23:00:00,2018-4-7,424.0
23:30:00,2018-04-07 23:30:00,12.0,23.0,96,57,108,38,6,4,7,2018,2018-04-07 23:30:00,2018-4-7,340.0
