,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,58,34,62,32,7,60,36,62,34,9,201,193,48.0,394
1,51,27,55,32,3,53,29,56,32,5,175,168,21.0,343
2,55,32,67,26,3,55,34,68,27,5,189,183,17.0,372
3,19,10,21,10,5,21,12,22,10,7,72,65,7.0,137
4,15,10,15,12,3,17,10,17,12,3,59,55,14.0,114
5,19,12,22,12,5,21,14,22,12,7,76,70,16.0,146
6,46,32,50,34,17,48,34,50,36,17,185,179,13.0,364
7,85,62,96,63,39,87,62,96,65,39,349,345,17.0,694
8,144,103,161,113,55,144,103,161,114,55,577,576,25.0,1153
9,212,159,229,145,87,212,161,231,147,89,840,832,31.0,1672
10,297,217,302,198,109,299,219,302,200,111,1131,1123,40.0,2254
11,402,272,431,290,157,402,272,432,292,159,1557,1552,57.0,3109
12,335,244,359,253,125,337,246,359,253,126,1321,1316,63.0,2637
13,227,161,248,157,89,229,162,249,159,89,888,882,181.0,1770
14,287,198,309,205,104,287,198,309,207,104,1105,1103,231.0,2208
15,338,239,359,231,130,338,241,359,231,132,1301,1297,368.0,2598
16,349,248,372,195,113,349,248,374,195,113,1279,1277,379.0,2556
17,357,227,376,229,94,359,229,376,229,96,1289,1283,316.0,2572
18,477,282,518,325,125,477,282,518,326,125,1728,1727,150.0,3455
19,463,265,470,222,106,463,265,472,222,108,1530,1526,90.0,3056
20,340,210,359,210,72,340,212,361,210,72,1195,1191,93.0,2386
21,354,214,390,219,75,355,215,390,219,77,1256,1252,74.0,2508
22,343,231,383,234,73,343,232,383,234,75,1267,1264,82.0,2531
23,323,208,364,210,73,325,210,366,210,73,1184,1178,88.0,2362
24,318,203,343,220,68,319,205,345,222,68,1159,1152,104.0,2311
25,367,229,439,219,84,369,231,441,219,84,1344,1338,88.0,2682
26,417,268,448,248,97,419,268,448,249,97,1481,1478,93.0,2959
27,386,244,434,212,79,388,246,436,214,79,1363,1355,92.0,2718
28,330,179,367,207,60,331,181,367,208,60,1147,1143,95.0,2290
29,333,202,372,210,65,333,203,374,210,65,1185,1182,102.0,2367
30,362,243,412,212,67,362,243,413,214,67,1299,1296,107.0,2595
31,372,220,441,198,63,372,222,441,198,65,1298,1294,137.0,2592
32,345,198,378,207,51,347,198,379,207,53,1184,1179,208.0,2363
33,371,212,386,232,50,372,212,388,232,50,1254,1251,222.0,2505
34,367,255,388,224,58,367,255,388,226,58,1294,1292,359.0,2586
35,347,193,376,196,44,347,193,378,196,44,1158,1156,251.0,2314
36,296,162,318,154,31,297,164,318,154,32,965,961,131.0,1926
37,314,181,318,178,31,316,181,318,179,31,1025,1022,92.0,2047
38,316,178,345,176,36,316,178,345,176,36,1051,1051,85.0,2102
39,311,173,304,133,32,311,174,306,133,34,958,953,54.0,1911
40,191,111,219,116,22,191,111,220,116,22,660,659,64.0,1319
41,255,132,277,147,31,256,132,278,147,31,844,842,42.0,1686
42,263,150,316,173,31,263,150,318,173,32,936,933,41.0,1869
43,234,130,244,137,26,236,130,244,137,26,773,771,40.0,1544
44,178,99,200,96,15,179,101,200,97,17,594,588,32.0,1182
45,173,97,200,103,17,173,99,202,104,19,597,590,38.0,1187
46,140,73,144,55,12,140,75,145,56,12,428,424,14.0,852
47,104,60,118,62,9,104,60,120,63,9,356,353,19.0,709
