,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,51,32,63,26,9,53,34,63,27,9,186,181,29.0,367
1,34,19,39,19,3,36,21,39,19,5,120,114,23.0,234
2,26,15,32,12,2,27,15,32,14,3,91,87,7.0,178
3,21,12,22,10,2,21,14,22,10,2,69,67,11.0,136
4,14,9,19,9,2,15,10,21,9,3,58,53,12.0,111
5,22,14,22,12,5,24,15,24,14,5,82,75,10.0,157
6,31,21,32,21,12,31,22,32,21,12,118,117,9.0,235
7,77,56,85,55,31,79,56,87,55,31,308,304,13.0,612
8,133,91,144,94,46,133,91,144,94,48,510,508,12.0,1018
9,202,140,208,140,70,202,142,208,140,72,764,760,29.0,1524
10,222,152,229,135,72,224,154,229,137,72,816,810,34.0,1626
11,253,179,290,181,77,255,179,292,181,79,986,980,49.0,1966
12,193,120,208,125,51,195,120,208,126,53,702,697,48.0,1399
13,159,108,167,108,43,161,108,167,108,44,588,585,39.0,1173
14,237,147,248,154,60,237,147,249,154,62,849,846,65.0,1695
15,275,171,268,167,63,277,171,268,167,65,948,944,89.0,1892
16,244,150,258,132,48,244,152,258,133,48,835,832,65.0,1667
17,267,167,313,138,50,267,167,313,138,50,935,935,85.0,1870
18,311,186,290,162,50,311,186,290,164,50,1001,999,76.0,2000
19,258,147,261,159,43,258,149,261,161,44,873,868,94.0,1741
20,202,123,246,114,29,203,123,246,116,31,719,714,92.0,1433
21,224,144,260,130,38,226,144,260,132,39,801,796,74.0,1597
22,234,147,290,133,41,236,147,290,135,41,849,845,97.0,1694
23,239,140,248,132,39,239,142,248,133,39,801,798,103.0,1599
24,190,118,196,118,29,190,120,196,118,29,653,651,88.0,1304
25,207,126,237,128,43,208,126,237,128,44,743,741,86.0,1484
26,246,162,296,138,46,246,162,296,138,46,888,888,80.0,1776
27,287,174,292,138,50,289,174,294,138,50,945,941,91.0,1886
28,249,150,241,154,38,251,152,243,155,38,839,832,108.0,1671
29,241,147,277,164,39,241,149,278,166,39,873,868,89.0,1741
30,282,152,308,178,38,284,152,308,178,39,961,958,94.0,1919
31,263,133,268,173,32,263,133,268,173,32,869,869,95.0,1738
32,222,123,232,123,26,222,125,232,123,27,729,726,88.0,1455
33,234,138,251,126,29,234,138,251,126,29,778,778,97.0,1556
34,244,137,241,137,26,246,137,243,138,27,791,785,100.0,1576
35,215,132,227,135,19,217,132,227,137,21,734,728,95.0,1462
36,161,92,198,68,15,162,94,198,68,17,539,534,93.0,1073
37,150,89,159,75,15,152,89,161,77,15,494,488,55.0,982
38,183,94,205,97,19,183,96,205,99,19,602,598,78.0,1200
39,164,94,173,84,14,164,96,174,84,15,533,529,59.0,1062
40,138,73,142,82,15,138,75,144,82,15,454,450,46.0,904
41,118,70,137,58,14,120,72,138,60,15,405,397,52.0,802
42,101,67,104,60,14,101,67,106,60,15,349,346,41.0,695
43,113,65,135,60,14,113,67,137,60,15,392,387,31.0,779
44,80,48,91,50,9,80,48,92,50,10,280,278,39.0,558
45,89,51,96,58,10,89,53,97,58,12,309,304,29.0,613
46,70,36,77,38,9,72,38,79,39,10,238,230,36.0,468
47,56,34,68,31,5,58,34,68,31,5,196,194,29.0,390
