,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,145,87,154,92,10,147,89,154,92,12,494,488,26.0,982
1,106,55,114,46,7,108,56,116,46,9,335,328,15.0,663
2,84,46,101,56,10,84,48,101,58,10,301,297,16.0,598
3,68,39,84,34,5,70,39,85,36,5,235,230,22.0,465
4,51,32,62,29,5,53,32,63,29,7,184,179,14.0,363
5,44,24,48,26,10,44,26,50,27,12,159,152,21.0,311
6,63,41,68,34,19,65,43,68,36,21,233,225,17.0,458
7,132,96,138,89,46,132,96,140,91,48,507,501,29.0,1008
8,207,138,203,157,70,208,140,205,159,70,782,775,25.0,1557
9,352,227,349,215,114,354,229,349,215,114,1261,1257,39.0,2518
10,441,306,506,268,147,443,308,507,270,147,1675,1668,49.0,3343
11,670,432,699,494,217,671,434,701,494,217,2517,2512,54.0,5029
12,506,345,550,354,159,507,347,552,355,161,1922,1914,79.0,3836
13,374,256,410,256,126,376,256,410,258,128,1428,1422,166.0,2850
14,472,328,542,323,166,472,330,543,323,167,1835,1831,250.0,3666
15,523,347,595,290,164,525,347,595,292,164,1923,1919,421.0,3842
16,518,337,501,335,133,519,338,501,335,133,1826,1824,289.0,3650
17,475,294,543,294,133,475,296,545,296,133,1745,1739,247.0,3484
18,519,313,528,273,126,521,313,528,275,128,1765,1759,115.0,3524
19,444,275,513,289,103,446,275,513,289,104,1627,1624,95.0,3251
20,432,289,506,268,96,434,290,506,270,97,1597,1591,99.0,3188
21,432,282,480,268,108,432,284,482,270,108,1576,1570,78.0,3146
22,451,284,470,290,106,453,284,472,292,106,1607,1601,96.0,3208
23,419,277,439,268,91,420,278,439,270,92,1499,1494,108.0,2993
24,390,253,432,229,85,391,255,434,231,85,1396,1389,101.0,2785
25,444,292,480,273,113,446,294,480,275,114,1609,1602,95.0,3211
26,485,333,545,299,125,485,335,545,299,125,1789,1787,117.0,3576
27,466,321,545,306,103,468,323,547,306,104,1748,1741,89.0,3489
28,448,284,497,224,80,449,285,497,226,80,1537,1533,77.0,3070
29,432,284,480,256,77,432,284,480,256,77,1529,1529,109.0,3058
30,465,296,516,255,91,466,297,516,256,91,1626,1623,102.0,3249
31,424,272,494,290,72,424,273,494,292,73,1556,1552,124.0,3108
32,372,239,405,237,58,372,239,407,239,60,1317,1311,186.0,2628
33,390,244,443,292,70,391,244,444,292,72,1443,1439,263.0,2882
34,388,234,478,224,62,390,236,478,226,62,1392,1386,327.0,2778
35,374,237,434,214,55,374,239,434,215,56,1318,1314,230.0,2632
36,405,229,429,226,44,405,229,429,227,46,1336,1333,129.0,2669
37,362,195,427,202,44,364,196,427,203,46,1236,1230,109.0,2466
38,393,210,408,173,48,393,210,410,173,50,1236,1232,78.0,2468
39,306,173,342,178,36,306,174,342,179,38,1039,1035,62.0,2074
40,239,125,261,135,29,241,126,261,137,29,794,789,80.0,1583
41,296,159,308,162,31,296,161,308,162,31,958,956,77.0,1914
42,343,191,372,155,38,345,191,374,157,38,1105,1099,69.0,2204
43,265,154,289,135,31,267,154,290,135,32,878,874,59.0,1752
44,220,118,229,120,21,220,118,229,121,21,709,708,66.0,1417
45,195,109,232,104,17,195,109,232,104,17,657,657,39.0,1314
46,195,109,210,103,19,196,109,210,104,21,640,636,26.0,1276
47,171,89,196,108,10,173,91,196,109,10,579,574,26.0,1153
