,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,32,17,32,15,3,32,19,34,15,5,105,99,40.0,204
1,17,10,19,10,3,19,10,21,10,5,65,59,23.0,124
2,26,14,26,12,2,27,14,26,14,2,83,80,16.0,163
3,12,7,14,7,2,12,7,15,7,2,43,42,10.0,85
4,12,7,14,7,2,12,9,15,7,3,46,42,10.0,88
5,19,12,21,12,5,19,12,21,14,5,71,69,18.0,140
6,29,22,34,24,12,31,24,34,26,12,127,121,13.0,248
7,62,44,68,43,24,63,44,70,44,24,245,241,12.0,486
8,126,84,137,79,38,128,85,138,79,38,468,464,16.0,932
9,169,120,186,118,51,171,121,186,120,51,649,644,20.0,1293
10,161,103,176,97,43,161,104,178,97,43,583,580,25.0,1163
11,186,116,200,116,46,188,118,202,116,48,672,664,46.0,1336
12,138,91,162,99,31,140,91,164,99,32,526,521,28.0,1047
13,138,89,144,99,31,140,91,145,99,31,506,501,59.0,1007
14,130,75,149,80,31,132,75,150,80,31,468,465,57.0,933
15,173,108,183,104,38,173,109,183,106,38,609,606,72.0,1215
16,229,140,243,135,39,229,140,243,135,41,788,786,74.0,1574
17,302,167,338,205,53,302,169,338,207,55,1071,1065,79.0,2136
18,323,205,381,176,55,325,207,381,176,55,1144,1140,78.0,2284
19,297,171,337,174,44,299,171,338,176,46,1030,1023,106.0,2053
20,251,157,296,125,36,251,159,296,125,38,869,865,96.0,1734
21,273,169,328,159,41,275,169,328,161,43,976,970,96.0,1946
22,278,164,340,181,43,280,166,340,181,43,1010,1006,103.0,2016
23,275,171,301,150,51,275,173,302,152,51,953,948,84.0,1901
24,253,137,249,145,38,253,138,249,145,39,824,822,88.0,1646
25,244,152,261,169,43,246,154,261,169,44,874,869,108.0,1743
26,308,190,355,190,55,308,191,357,191,55,1102,1098,113.0,2200
27,313,174,369,188,48,314,174,371,190,50,1099,1092,86.0,2191
28,273,174,316,167,36,273,174,316,167,38,968,966,108.0,1934
29,290,174,319,145,38,290,176,319,147,38,970,966,116.0,1936
30,316,178,335,162,36,316,178,335,162,36,1027,1027,123.0,2054
31,282,157,361,150,32,282,157,362,150,32,983,982,123.0,1965
32,263,149,292,133,29,263,150,292,135,31,871,866,116.0,1737
33,260,150,287,144,29,260,150,287,144,29,870,870,125.0,1740
34,282,157,328,176,31,282,157,330,176,31,976,974,118.0,1950
35,236,135,280,154,22,236,135,282,154,22,829,827,95.0,1656
36,150,92,181,79,14,152,94,181,80,15,522,516,84.0,1038
37,185,101,196,77,17,185,101,198,79,19,582,576,97.0,1158
38,203,116,249,111,15,203,116,249,113,17,698,694,98.0,1392
39,176,103,200,99,15,178,104,200,99,17,598,593,54.0,1191
40,120,75,162,72,14,120,75,162,73,14,444,443,68.0,887
41,144,82,152,72,15,145,84,152,72,17,470,465,54.0,935
42,137,77,166,79,14,137,79,167,80,15,478,473,62.0,951
43,137,75,169,87,15,138,77,169,87,17,488,483,54.0,971
44,94,62,109,56,10,96,63,109,58,10,336,331,40.0,667
45,91,53,96,50,12,91,55,96,51,12,305,302,37.0,607
46,60,32,58,31,9,60,32,60,31,9,192,190,26.0,382
47,55,31,56,27,5,56,32,58,27,7,180,174,26.0,354
