,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,166,94,190,120,12,166,96,190,120,14,586,582,23.0,1168
1,125,67,120,63,7,125,68,121,65,9,388,382,19.0,770
2,70,38,84,41,7,70,39,85,43,9,246,240,14.0,486
3,39,24,44,27,5,41,26,46,29,5,147,139,14.0,286
4,24,15,27,14,3,26,17,27,15,5,90,83,11.0,173
5,39,24,43,29,9,39,24,43,29,10,145,144,12.0,289
6,51,34,55,34,21,53,36,55,34,21,199,195,17.0,394
7,120,77,128,79,39,120,79,130,80,41,450,443,24.0,893
8,178,125,188,118,60,178,126,188,120,60,672,669,25.0,1341
9,270,186,299,169,91,272,188,301,171,92,1024,1015,36.0,2039
10,345,241,381,253,116,347,243,383,255,118,1346,1336,44.0,2682
11,495,323,530,318,167,495,325,530,318,167,1835,1833,61.0,3668
12,410,265,417,243,128,412,267,419,243,130,1471,1463,68.0,2934
13,294,215,306,208,101,294,217,308,210,103,1132,1124,183.0,2256
14,403,277,443,273,138,405,278,444,275,138,1540,1534,210.0,3074
15,393,287,453,285,130,393,289,454,285,132,1553,1548,300.0,3101
16,379,239,405,234,92,381,241,405,236,94,1357,1349,308.0,2706
17,391,260,425,277,92,393,260,425,278,92,1448,1445,205.0,2893
18,415,265,473,263,103,415,267,473,263,103,1521,1519,118.0,3040
19,478,263,494,248,96,480,265,494,248,97,1584,1579,84.0,3163
20,345,237,383,241,68,345,237,383,241,68,1274,1274,107.0,2548
21,403,267,424,229,91,403,267,424,231,91,1416,1414,102.0,2830
22,361,244,410,215,75,361,244,410,215,75,1305,1305,127.0,2610
23,408,241,441,207,84,410,243,443,207,85,1388,1381,121.0,2769
24,361,237,415,217,101,362,237,417,219,101,1336,1331,95.0,2667
25,460,311,490,277,118,461,313,492,277,118,1661,1656,104.0,3317
26,449,273,519,299,99,451,275,519,299,101,1645,1639,104.0,3284
27,466,292,494,263,99,466,292,494,263,99,1614,1614,96.0,3228
28,390,246,468,253,70,391,248,470,255,70,1434,1427,91.0,2861
29,390,232,429,243,75,391,234,431,244,77,1377,1369,85.0,2746
30,441,261,466,273,77,441,263,466,273,79,1522,1518,113.0,3040
31,429,234,492,203,65,429,236,494,203,67,1429,1423,158.0,2852
32,413,237,441,263,53,415,237,441,263,55,1411,1407,189.0,2818
33,419,251,489,212,63,420,251,489,214,65,1439,1434,271.0,2873
34,427,251,475,208,58,429,251,477,210,60,1427,1419,314.0,2846
35,390,229,403,220,55,391,231,405,220,55,1302,1297,303.0,2599
36,294,186,325,149,39,294,186,325,149,39,993,993,186.0,1986
37,308,171,328,157,34,308,173,328,159,34,1002,998,145.0,2000
38,314,195,342,207,41,314,195,342,207,41,1099,1099,109.0,2198
39,275,174,340,167,32,277,176,340,169,34,996,988,69.0,1984
40,237,138,272,137,29,237,140,273,137,31,818,813,55.0,1631
41,258,137,270,138,32,258,137,272,140,34,841,835,57.0,1676
42,260,174,297,186,36,261,174,297,188,36,956,953,81.0,1909
43,292,164,301,157,27,292,164,301,157,27,941,941,70.0,1882
44,290,149,316,157,21,292,149,316,157,21,935,933,53.0,1868
45,237,133,278,137,24,237,133,278,138,24,810,809,52.0,1619
46,191,120,224,103,15,193,121,224,104,15,657,653,22.0,1310
47,166,94,202,85,17,167,96,202,85,17,567,564,33.0,1131
