time,scheduled_fight_time,parking,pass,A,B,C,D,E,month,day,year,DateTime,Date,Total
00:00:00,2018-08-31 00:00:00,21.0,16.0,135,77,146,79,8,8,31,2018,2018-08-31 00:00:00,2018-8-31,482.0
00:30:00,2018-08-31 00:30:00,13.0,12.0,72,45,81,38,5,8,31,2018,2018-08-31 00:30:00,2018-8-31,266.0
01:00:00,2018-08-31 01:00:00,16.0,8.0,44,26,51,27,3,8,31,2018,2018-08-31 01:00:00,2018-8-31,175.0
01:30:00,2018-08-31 01:30:00,10.0,10.0,26,14,30,13,2,8,31,2018,2018-08-31 01:30:00,2018-8-31,105.0
02:00:00,2018-08-31 02:00:00,14.0,3.0,17,9,19,10,1,8,31,2018,2018-08-31 02:00:00,2018-8-31,73.0
02:30:00,2018-08-31 02:30:00,53.0,10.0,21,12,24,12,1,8,31,2018,2018-08-31 02:30:00,2018-8-31,133.0
03:00:00,2018-08-31 03:00:00,109.0,11.0,43,23,48,22,3,8,31,2018,2018-08-31 03:00:00,2018-8-31,259.0
03:30:00,2018-08-31 03:30:00,230.0,19.0,88,49,96,46,6,8,31,2018,2018-08-31 03:30:00,2018-8-31,534.0
04:00:00,2018-08-31 04:00:00,330.0,19.0,142,83,154,65,8,8,31,2018,2018-08-31 04:00:00,2018-8-31,801.0
04:30:00,2018-08-31 04:30:00,485.0,28.0,204,114,227,107,14,8,31,2018,2018-08-31 04:30:00,2018-8-31,1179.0
05:00:00,2018-08-31 05:00:00,561.0,40.0,283,174,342,165,15,8,31,2018,2018-08-31 05:00:00,2018-8-31,1580.0
05:30:00,2018-08-31 05:30:00,650.0,55.0,388,224,436,166,29,8,31,2018,2018-08-31 05:30:00,2018-8-31,1948.0
06:00:00,2018-08-31 06:00:00,421.0,60.0,265,144,317,154,20,8,31,2018,2018-08-31 06:00:00,2018-8-31,1381.0
06:30:00,2018-08-31 06:30:00,412.0,159.0,230,130,232,132,16,8,31,2018,2018-08-31 06:30:00,2018-8-31,1311.0
07:00:00,2018-08-31 07:00:00,516.0,145.0,291,164,333,155,21,8,31,2018,2018-08-31 07:00:00,2018-8-31,1625.0
07:30:00,2018-08-31 07:30:00,542.0,250.0,323,178,370,193,21,8,31,2018,2018-08-31 07:30:00,2018-8-31,1877.0
08:00:00,2018-08-31 08:00:00,420.0,199.0,321,200,375,170,17,8,31,2018,2018-08-31 08:00:00,2018-8-31,1702.0
08:30:00,2018-08-31 08:30:00,508.0,139.0,367,215,418,187,25,8,31,2018,2018-08-31 08:30:00,2018-8-31,1859.0
09:00:00,2018-08-31 09:00:00,436.0,113.0,452,239,516,231,26,8,31,2018,2018-08-31 09:00:00,2018-8-31,2013.0
09:30:00,2018-08-31 09:30:00,366.0,92.0,397,222,474,208,28,8,31,2018,2018-08-31 09:30:00,2018-8-31,1787.0
10:00:00,2018-08-31 10:00:00,331.0,99.0,356,198,347,173,23,8,31,2018,2018-08-31 10:00:00,2018-8-31,1527.0
10:30:00,2018-08-31 10:30:00,357.0,97.0,383,220,435,221,27,8,31,2018,2018-08-31 10:30:00,2018-8-31,1740.0
11:00:00,2018-08-31 11:00:00,352.0,103.0,442,250,460,184,30,8,31,2018,2018-08-31 11:00:00,2018-8-31,1821.0
