,Arrive_A_people,Arrive_B_people,Arrive_C_people,Arrive_D_people,Arrive_E_people,Depart_A_people,Depart_B_people,Depart_C_people,Depart_D_people,Depart_E_people,Depart_total,Arrival_total,pass_thru,Total
0,178,97,196,91,9,178,97,198,92,9,574,571,50.0,1145
1,97,56,101,48,7,97,56,103,50,7,313,309,31.0,622
2,44,22,48,22,3,44,22,50,22,5,143,139,28.0,282
3,36,17,36,19,3,36,19,38,21,5,119,111,21.0,230
4,22,15,26,10,2,22,15,26,12,3,78,75,17.0,153
5,27,19,31,21,9,29,21,32,21,9,112,107,11.0,219
6,44,29,44,32,17,44,31,46,32,17,170,166,15.0,336
7,104,72,103,67,34,104,72,104,68,36,384,380,23.0,764
8,152,104,167,97,51,154,106,167,97,53,577,571,26.0,1148
9,212,149,232,145,67,212,149,232,147,67,807,805,31.0,1612
10,256,173,287,150,72,256,173,289,152,72,942,938,23.0,1880
11,284,193,319,193,85,284,193,321,193,87,1078,1074,51.0,2152
12,195,128,214,128,44,195,128,214,130,46,713,709,45.0,1422
13,178,104,191,118,43,179,104,191,118,43,635,634,46.0,1269
14,227,154,244,147,58,229,155,246,147,60,837,830,55.0,1667
15,261,147,267,142,63,261,147,267,144,63,882,880,65.0,1762
16,212,135,231,130,43,214,135,232,130,44,755,751,76.0,1506
17,268,167,282,171,53,270,169,284,173,55,951,941,66.0,1892
18,251,183,302,176,46,253,185,304,178,46,966,958,62.0,1924
19,253,152,278,147,41,253,152,280,149,43,877,871,68.0,1748
20,208,120,234,142,29,208,121,236,142,29,736,733,84.0,1469
21,205,135,224,121,31,205,137,224,123,31,720,716,83.0,1436
22,205,126,232,135,36,207,126,232,137,36,738,734,95.0,1472
23,188,120,234,126,41,190,121,236,126,43,716,709,93.0,1425
24,198,130,229,104,41,198,130,231,106,41,706,702,95.0,1408
25,241,155,273,133,48,243,155,275,135,48,856,850,93.0,1706
26,270,164,306,147,50,270,164,306,147,51,938,937,84.0,1875
27,268,171,294,155,50,270,173,296,155,51,945,938,104.0,1883
28,234,138,255,154,39,234,138,256,155,39,822,820,87.0,1642
29,226,125,236,123,39,227,126,236,125,41,755,749,98.0,1504
30,219,135,258,125,31,219,137,258,126,32,772,768,102.0,1540
31,234,144,253,150,34,236,145,253,152,34,820,815,101.0,1635
32,203,128,226,128,22,203,128,226,130,22,709,707,95.0,1416
33,210,120,255,133,26,212,120,256,133,26,747,744,92.0,1491
34,215,133,236,109,24,217,133,236,109,24,719,717,119.0,1436
35,196,121,219,106,22,196,123,220,108,22,669,664,115.0,1333
36,154,89,173,103,17,155,89,173,103,17,537,536,93.0,1073
37,144,85,169,63,17,144,87,169,63,17,480,478,79.0,958
38,178,106,220,91,17,179,106,220,91,19,615,612,67.0,1227
39,149,97,178,70,17,150,99,178,72,19,518,511,56.0,1029
40,120,63,121,67,14,121,65,121,67,14,388,385,56.0,773
41,145,85,155,85,17,145,87,155,87,17,491,487,54.0,978
42,147,80,171,87,19,147,80,171,89,19,506,504,57.0,1010
43,123,80,137,68,15,125,82,138,68,17,430,423,49.0,853
44,108,63,116,62,12,109,65,118,63,12,367,361,51.0,728
45,99,62,126,43,12,101,63,128,44,12,348,342,35.0,690
46,94,67,106,60,9,94,67,106,60,10,337,336,31.0,673
47,84,51,94,34,7,84,53,94,34,7,272,270,23.0,542
